Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for birthing friendly designation,Hospital overall rating,Hospital overall rating footnote,MORT Group Measure Count,Count of Facility MORT Measures,Count of MORT Measures Better,Count of MORT Measures No Different,Count of MORT Measures Worse,MORT Group Footnote,Safety Group Measure Count,Count of Facility Safety Measures,Count of Safety Measures Better,Count of Safety Measures No Different,Count of Safety Measures Worse,Safety Group Footnote,READM Group Measure Count,Count of Facility READM Measures,Count of READM Measures Better,Count of READM Measures No Different,Count of READM Measures Worse,READM Group Footnote,Pt Exp Group Measure Count,Count of Facility Pt Exp Measures,Pt Exp Group Footnote,TE Group Measure Count,Count of Facility TE Measures,TE Group Footnote
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,hpt-obf:v1:8THBYoetVotdCgqZ.oWaNbY2Jp6Rv1YxiLByWCg.A38oy0zJE0tQ-qmWhzg,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,,8,8,0,8,0,,8,7,3,4,0,,11,11,1,9,1,,15,15,,10,10,
010005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,hpt-obf:v1:bBQSlVxMSwf4tppa.gPwJYS0CETFE9LHYVRUO0A.Vl1AZWZCtSOZlT8fVgg,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,,8,6,0,5,1,,8,7,0,7,0,,11,9,1,8,0,,15,15,,10,10,
010006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,LAUDERDALE,hpt-obf:v1:4HyXg93x1oKL1L1S.pnwhPAqznFBCdoHMNnd62A.HU_fi-_YFayXEMLurLc,Acute Care Hospitals,Proprietary,Yes,Y,2,,8,8,0,5,3,,8,8,4,4,0,,11,9,1,8,0,,15,15,,10,9,
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,hpt-obf:v1:xqzg60Gx2tGWJtLu.ux2EIHLLmLb-dYMfmOCMjQ.3FGrDTAbXjCpYfpebkA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,1,,8,4,0,3,1,,8,2,0,2,0,,11,5,0,3,2,,15,5,,10,7,
010011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,hpt-obf:v1:HI1ftkuAeC93nM6r.7gZxQ3zl7oXX4bWYkkakvQ.SAOmRR7b0-JIyi49aTw,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,3,29,8,8,0,8,0,29,8,7,1,6,0,29,11,8,1,5,2,29,15,10,29,10,7,29
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,hpt-obf:v1:r_KstK9ajPaBSEFZ.ZJgKZaeLX79fJIVzBwioYw.yl9Hv7LxaGcCFvlgzPY,Acute Care Hospitals,Proprietary,Yes,Y,2,,8,5,0,5,0,,8,4,0,4,0,,11,8,0,6,2,,15,15,,10,9,
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,hpt-obf:v1:OwZk9KX6S74Iq32T.4GmoXj_99IAx-oJnRUfk7g._IYrBtxH6462xpjeA5s,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,2,,8,8,0,8,0,,8,7,1,5,1,,11,9,0,8,1,,15,15,,10,6,
010019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,hpt-obf:v1:MiNIunHlPgEzyoyn.LQ-bAe0uBIu7fZCBvXJn_Q.aEwn1UTfM94uxlMoR-4,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,,8,5,0,4,1,,8,7,1,6,0,,11,7,1,5,1,,15,15,,10,9,
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,hpt-obf:v1:cEcJVME2m3Wrd_ll.GqyYXBrKvQIQXC-Fb3Z7gA.2b_d2dGQsFPt8bgCdd4,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,8,2,0,2,0,,8,2,0,2,0,,11,3,0,2,1,,15,5,,10,8,
010022,FLOYD CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,CHEROKEE,hpt-obf:v1:nn3wuUA7IPZdrpGk.gC8Zie8iOp58q7Ze50gcGQ.w4UyOBx79SkKmSkScqk,Acute Care Hospitals,Proprietary,Yes,,Not Available,16,8,1,0,1,0,,8,1,0,1,0,,11,2,0,2,0,,15,Not Available,5,10,5,
