ccn,hospital_name,state,finding,url,dns,final_status,redirect_hops,server,cf_ray,cf_mitigated,waf_action,edge,body_hint,error,ms,transcript
021311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,AK,pointer-blocked-to-automation,https://peacehealth.org/cms-hpt.txt,ok,,2,,,,,,,fetch failed (cause: UND_ERR_CONNECT_TIMEOUT),39862,transcripts\peacehealth.org--a3aae4db.txt
021311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,AK,pointer-blocked-to-automation,https://peacehealth.org/,ok,403,1,cloudflare | cloudflare,a371f558e8fb2bd4-IAD | a371f55a0eeea6be-IAD,challenge,,cloudflare,Just a moment,,3452,transcripts\peacehealth.org--c1ce36b3.txt
021312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,AK,not-assessed-site-unreachable,https://arcticslope.org/cms-hpt.txt,ok,404,1,cloudflare,a371f5030b0d2c58-IAD,,,cloudflare,,fetch failed (cause: UND_ERR_CONNECT_TIMEOUT),30109,transcripts\arcticslope.org--100c53bb.txt
021312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,AK,not-assessed-site-unreachable,https://arcticslope.org/,ok,200,0,cloudflare,a371f5588fa29cc0-IAD,,,cloudflare,,,13088,transcripts\arcticslope.org--cd4cd826.txt
021305,SEARHC WRANGELL MEDICAL CENTER & LTC,AK,no-cms-hpt-txt-published,https://searhc.org/,ok,200,0,cloudflare,a371f4d6593222ef-IAD,,,cloudflare,,fetch failed (cause: UND_ERR_CONNECT_TIMEOUT),22334,transcripts\searhc.org--8ca06500.txt
021305,SEARHC WRANGELL MEDICAL CENTER & LTC,AK,no-cms-hpt-txt-published,https://searhc.org/cms-hpt.txt,ok,404,0,cloudflare,a371f5037b406fda-IAD,,,cloudflare,,,7301,transcripts\searhc.org--47a2110b.txt
021305,SEARHC WRANGELL MEDICAL CENTER & LTC,AK,no-cms-hpt-txt-published,https://searhc.org/.well-known/cms-hpt.txt,ok,404,0,cloudflare,a371f558ae221e81-IAD,,,cloudflare,,,13593,transcripts\searhc.org--baf6cfea.txt
010036,ANDALUSIA HEALTH,AL,not-assessed-site-unreachable,https://andalusiahealth.com/cms-hpt.txt,ok,406,0,,,,,,,fetch failed (cause: UND_ERR_CONNECT_TIMEOUT),22226,transcripts\andalusiahealth.com--c9e8f554.txt
010036,ANDALUSIA HEALTH,AL,not-assessed-site-unreachable,https://andalusiahealth.com/,ok,406,0,,,,,,,,7181,transcripts\andalusiahealth.com--7075c383.txt
010079,ATHENS LIMESTONE HOSPITAL,AL,not-assessed-site-unreachable,https://huntsvillehospital.org/cms-hpt.txt,failed,,0,,,,,,,fetch failed (cause: EAI_AGAIN),29323,transcripts\huntsvillehospital.org--0bfde50e.txt
010079,ATHENS LIMESTONE HOSPITAL,AL,not-assessed-site-unreachable,https://huntsvillehospital.org/,failed,,0,,,,,,,fetch failed (cause: EAI_AGAIN),10522,transcripts\huntsvillehospital.org--b0b2ddcd.txt
010083,BALDWIN HEALTH,AL,no-cms-hpt-txt-published,https://southbaldwinrmc.com/,ok,200,1,cloudflare,a371f5033f5a5d13-IAD,,,cloudflare,,fetch failed (cause: UND_ERR_CONNECT_TIMEOUT),29524,transcripts\southbaldwinrmc.com--203d11fe.txt
010083,BALDWIN HEALTH,AL,no-cms-hpt-txt-published,https://southbaldwinrmc.com/cms-hpt.txt,ok,404,0,cloudflare,a371f558ce13c48c-IAD,,,cloudflare,,,13711,transcripts\southbaldwinrmc.com--e188a71e.txt
010083,BALDWIN HEALTH,AL,no-cms-hpt-txt-published,https://southbaldwinrmc.com/.well-known/cms-hpt.txt,ok,404,0,cloudflare,a371f55a1aa7c48c-IAD,,,cloudflare,,,177,transcripts\southbaldwinrmc.com--3b52f0d0.txt
010034,COMMUNITY HOSPITAL INC,AL,no-cms-hpt-txt-published,https://chal.org/,ok,200,0,Apache,,,,,,fetch failed (cause: UND_ERR_CONNECT_TIMEOUT),22414,transcripts\chal.org--9f5d02bb.txt
010034,COMMUNITY HOSPITAL INC,AL,no-cms-hpt-txt-published,https://chal.org/cms-hpt.txt,ok,200,0,Apache,,,,,,,7296,transcripts\chal.org--c640583b.txt
010034,COMMUNITY HOSPITAL INC,AL,no-cms-hpt-txt-published,https://chal.org/.well-known/cms-hpt.txt,ok,200,0,Apache,,,,,,,13691,transcripts\chal.org--a08213aa.txt
010131,CRESTWOOD MEDICAL CENTER,AL,not-assessed-site-unreachable,https://crestwoodmedcenter.com/cms-hpt.txt,failed,,0,,,,,,,fetch failed (cause: EAI_AGAIN),29363,transcripts\crestwoodmedcenter.com--af1e9cc7.txt
010131,CRESTWOOD MEDICAL CENTER,AL,not-assessed-site-unreachable,https://crestwoodmedcenter.com/,failed,,0,,,,,,,fetch failed (cause: UND_ERR_CONNECT_TIMEOUT),13544,transcripts\crestwoodmedcenter.com--cb776263.txt
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,not-assessed-site-unreachable,https://huntsvillehospital.org/cms-hpt.txt,failed,,0,,,,,,,fetch failed (cause: EAI_AGAIN),29323,transcripts\huntsvillehospital.org--0bfde50e.txt
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,not-assessed-site-unreachable,https://huntsvillehospital.org/,failed,,0,,,,,,,fetch failed (cause: EAI_AGAIN),10522,transcripts\huntsvillehospital.org--b0b2ddcd.txt
010012,DEKALB REGIONAL MEDICAL CENTER,AL,not-assessed-not-named-in-file,https://dekalbregional.com/,ok,,2,Apache,,,,,,fetch failed (cause: UND_ERR_CONNECT_TIMEOUT),35640,transcripts\dekalbregional.com--f1f6a5c3.txt
010148,EVERGREEN MEDICAL CENTER,AL,mrf-blocked-to-automation,https://irp.cdn-website.com/1a9867e2/files/uploaded/208057151_evergreenmedicalcenter_standardcharges.csv,ok,403,0,AmazonS3,,,,cloudfront,Access Denied,,3372,transcripts\irp.cdn-website.com--9acd8e60.txt
010019,HELEN KELLER HOSPITAL,AL,not-assessed-site-unreachable,https://huntsvillehospital.org/cms-hpt.txt,failed,,0,,,,,,,fetch failed (cause: EAI_AGAIN),29323,transcripts\huntsvillehospital.org--0bfde50e.txt
010019,HELEN KELLER HOSPITAL,AL,not-assessed-site-unreachable,https://huntsvillehospital.org/,failed,,0,,,,,,,fetch failed (cause: EAI_AGAIN),10522,transcripts\huntsvillehospital.org--b0b2ddcd.txt
010061,HIGHLANDS MEDICAL CENTER,AL,not-assessed-site-unreachable,https://highlandsmedcenter.com/cms-hpt.txt,failed,,0,,,,,,,fetch failed (cause: UND_ERR_CONNECT_TIMEOUT),22240,transcripts\highlandsmedcenter.com--88ab628b.txt
