ccn,hospital_name,address,city,state,zip,phone,type,seeded_domain,pointer_status,remediation,reason,exa_query,resolved_domain
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,hpt-obf:v1:AEEz12XWCCVjbW35.ARrsqhyF6KnLES8wmemFUg.pcUPvn6USt9YwQQWUBQ,Acute Care Hospitals,dekalbregional.com,ok,name-match-review,pointer file works (1 entries) but none matched this hospital's name,,
010019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,hpt-obf:v1:HRlrt9RajikiS4TT.aj5ufRfQPqrihqrjjf8P0g.0kJkrzrgFvXKKdyjMtw,Acute Care Hospitals,huntsvillehospital.org,neterr,exa-domain-lookup,pointer fetch failed (neterr); domain is likely wrong or stale,HELEN KELLER HOSPITAL hospital SHEFFIELD AL official website,
010024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,hpt-obf:v1:bx9tZRO753HRddhH.4Q137BKPLTAiZQLwI0CHfQ.ybilk6M_M9gCQykf_0E,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,JACKSON HOSPITAL & CLINIC INC hospital MONTGOMERY AL official website,
010034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,hpt-obf:v1:BkY_lgHuPdsesBe-.Oz3yKjDYBJXCJXYkxRd5SA.dFT4NgHFl0yybdfgT5s,Acute Care Hospitals,chal.org,html,exa-domain-lookup,pointer fetch failed (html); domain is likely wrong or stale,COMMUNITY HOSPITAL INC hospital TALLASSEE AL official website,
010036,ANDALUSIA HEALTH,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,hpt-obf:v1:9K5qevpyj1VWAwdZ.mCYPve3yAE_2S6G8QtCWqg.xiPVtgoY2anDubBMOVM,Acute Care Hospitals,andalusiahealth.com,failed,exa-domain-lookup,pointer fetch failed (failed); domain is likely wrong or stale,ANDALUSIA HEALTH hospital ANDALUSIA AL official website,
010051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,EUTAW,AL,35462,hpt-obf:v1:WQgXiZmPURVK9y8Z.7X9vZBTlvoY4xBiVQJ7ZNQ.yO-Miycy63vSrL_f-VI,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,GREENE COUNTY HOSPITAL hospital EUTAW AL official website,
010058,BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,AL,35042,hpt-obf:v1:PdK1ZN87-fEQ0QV9.xvfiiK5guAa8gw5s1xYGrA.TxHmaeY0p1YG_cE_M_M,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,BIBB MEDICAL CENTER hospital CENTREVILLE AL official website,
010061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,hpt-obf:v1:i-4y1QTfrFxlS2Pf.VT-MD38Ktn3ianhbhmlPow.4nZwSPE485xwc3_Qpj8,Acute Care Hospitals,highlandsmedcenter.com,neterr,exa-domain-lookup,pointer fetch failed (neterr); domain is likely wrong or stale,HIGHLANDS MEDICAL CENTER hospital SCOTTSBORO AL official website,
010065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,hpt-obf:v1:Bh0aWB2r1NS1hPgV.6-dRf2KDtOct5cnRqUXfjQ.C3aX_7MbYp1Yupaw_po,Acute Care Hospitals,russellcares.com,notfound,exa-domain-lookup,pointer fetch failed (notfound); domain is likely wrong or stale,RUSSELL MEDICAL CENTER hospital ALEXANDER CITY AL official website,
010079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,hpt-obf:v1:mKj3cl-Yn_zgDbTT.xOfZ-5ekWNX9FaqzAy3_WQ.5HF6CATQvQxWSSKMoEk,Acute Care Hospitals,huntsvillehospital.org,neterr,exa-domain-lookup,pointer fetch failed (neterr); domain is likely wrong or stale,ATHENS LIMESTONE HOSPITAL hospital ATHENS AL official website,
010083,BALDWIN HEALTH,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,hpt-obf:v1:SBhBZvtx9Jx82Vgp.g9PRYqB0IKywM9WaJwtJbg.2EWRs3I5uqyXQoJgVQA,Acute Care Hospitals,southbaldwinrmc.com,notfound,exa-domain-lookup,pointer fetch failed (notfound); domain is likely wrong or stale,BALDWIN HEALTH hospital FOLEY AL official website,
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,hpt-obf:v1:_f9WNmKSlIumj8Rt.QBX9eU4yGkFIjaL7YYTRuA.I2Av0QJIetUN3v33YeY,Acute Care Hospitals,huntsvillehospital.org,neterr,exa-domain-lookup,pointer fetch failed (neterr); domain is likely wrong or stale,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS hospital DECATUR AL official website,
010110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,hpt-obf:v1:Ay-Dp-s9oqc-8FGx.S_EOQ6MUve94g6tlrq75UA.OiziPK-3m4DL1wDlY2I,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,BULLOCK COUNTY HOSPITAL hospital UNION SPRINGS AL official website,
010112,WHITFIELD REGIONAL HOSPITAL,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732,hpt-obf:v1:gmSG5U--3ePqiNOe._MxBRKtKrGV4ce5JTqi00A.Wx4kh47fjh6sWN-IG0g,Acute Care Hospitals,bwwmh.com,notfound,exa-domain-lookup,pointer fetch failed (notfound); domain is likely wrong or stale,WHITFIELD REGIONAL HOSPITAL hospital DEMOPOLIS AL official website,
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35022,hpt-obf:v1:lXjOoVDNrJf5WKBu.39OyGO24IN-LSLdHRVYIwA.2vGm_JwwJVKyaWm_iL0,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM hospital BESSEMER AL official website",
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,hpt-obf:v1:dMYhl77O_FELjLqp.YREpDUhQ5pj01Am3F1G0kA.lg9tvxIlbLz8MdkB6lI,Acute Care Hospitals,vaughanregional.com,failed,exa-domain-lookup,pointer fetch failed (failed); domain is likely wrong or stale,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS hospital SELMA AL official website,
010125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E,HALEYVILLE,AL,35565,hpt-obf:v1:JIMIINDjDM37uuBx.1KFefxlt0cMeIzslG6_Kyw.6pXd0lGen-M0AfZ6vBs,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,LAKELAND COMMUNITY HOSPITAL hospital HALEYVILLE AL official website,
010131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,hpt-obf:v1:3ph6pOxYfW02z6Ro.XAywAZuCA6hpQQxOeiNcIQ.74bPWmoi4Q8WKI8TV0k,Acute Care Hospitals,crestwoodmedcenter.com,neterr,exa-domain-lookup,pointer fetch failed (neterr); domain is likely wrong or stale,CRESTWOOD MEDICAL CENTER hospital HUNTSVILLE AL official website,
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,hpt-obf:v1:jS_vJuvI2kQOi2Hn.Wrih4B7CLgbJHghE-wUWog.Q0Yl3EYpmk0kYdLtbHg,Acute Care - Veterans Administration,,no-domain,exempt-federal,federally owned; outside 45 CFR 180,,
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,hpt-obf:v1:VgAvIJfsfvp5miVr.ivsFXHuKYv9qUGgp8qcmWg.ZZ6_Z2b10cV1jlFKjyo,Acute Care - Veterans Administration,,no-domain,exempt-federal,federally owned; outside 45 CFR 180,,
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,hpt-obf:v1:nWv796OcYxVdJsw0.XtZmd-kKQBCDxnf3ll_x0Q.neRNfvx6h-d5_0H75Zs,Acute Care - Veterans Administration,,no-domain,exempt-federal,federally owned; outside 45 CFR 180,,
010779,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,hpt-obf:v1:EvLkgChBZZWyDZKz.J4GPy4Eek4YQaQBxrV13sw.Wu1cWwSSvPwDSruecCY,Rural Emergency Hospital,,no-domain,exa-domain-lookup,no domain in the seed dataset,BULLOCK COUNTY HOSPITAL hospital UNION SPRINGS AL official website,
010780,EAMC - LANIER,4800 48TH STREET,VALLEY,AL,36854,hpt-obf:v1:jDdehgbiav4UMKRM.S56Mj_5K4GtE0clJmZvAYA.ZHrrCl1AMr9l5IGkfOg,Rural Emergency Hospital,,no-domain,exa-domain-lookup,no domain in the seed dataset,EAMC - LANIER hospital VALLEY AL official website,
010781,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,CAMDEN,AL,36726,hpt-obf:v1:rciAy5I9KlXHfSv4.F0LP9aX0qTtIgrCGb0J8nA.ocWjVPopXI9eBhLb6mQ,Rural Emergency Hospital,,no-domain,exa-domain-lookup,no domain in the seed dataset,J PAUL JONES HOSPITAL hospital CAMDEN AL official website,
011302,RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,AL,35582,hpt-obf:v1:3IHnMCLIA4IVAB2g.lnX_UEXxrU4czH-ds5rgDQ.lvAzRHhkets1XonLofI,Critical Access Hospitals,healthy.kaiserpermanente.org,ok,name-match-review,pointer file works (41 entries) but none matched this hospital's name,,
011304,OCHSNER CHOCTAW GENERAL,"401 VANITY FAIR LANE, PO BOX 618",BUTLER,AL,36904,hpt-obf:v1:I1krLsKZIpxDfL7h.D1muBrgeofmxng-ebTuizQ.Zi0MSLW_liRiGYSv9pU,Critical Access Hospitals,ochsnerrush.org,ok,name-match-review,pointer file works (26 entries) but none matched this hospital's name,,
011311,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E,HALEYVILLE,AL,35565,hpt-obf:v1:mScShViatCDwNpVj.PTpmKIEs6z6gbxIig7cIZg.6LcunlJsNo8yeZeMi2o,Critical Access Hospitals,lakelandcommunityhospital.com,notfound,exa-domain-lookup,pointer fetch failed (notfound); domain is likely wrong or stale,LAKELAND COMMUNITY HOSPITAL hospital HALEYVILLE AL official website,
014000,HILL CREST BEHAVIORAL HEALTH SERVICES,6869 FIFTH AVENUE SOUTH,BIRMINGHAM,AL,35212,hpt-obf:v1:qYRaJkRK56Ah_lNT.HxWl07wT4CU6PTJnyRmnaw.De2mVmQUF7sIzrLcZUY,Psychiatric,hillcrestbhs.com,blocked,unblocker,"domain returned 403/429; needs the unblocker, not a new domain",,
014007,BRYCE HOSPITAL,1651 RUBY TYLER PKWY,TUSCALOOSA,AL,35404,hpt-obf:v1:aB1qbCJQvNx1Mksj.OpydBAPfOjzPtdpynJum1g.FwzjuHaTmFQng92s-Tk,Psychiatric,,no-domain,exa-domain-lookup,no domain in the seed dataset,BRYCE HOSPITAL hospital TUSCALOOSA AL official website,
014012,MARY S HARPER GERIATRIC PSYCHIATRY CENTER,201 UNIVERSITY BLVD,TUSCALOOSA,AL,35401,hpt-obf:v1:woBMsKxkz3A0WkAz.24Fi1iqSjSCt0dEN-R0JPQ.LP8t2Dklwzu8F5EE1uE,Psychiatric,,no-domain,exa-domain-lookup,no domain in the seed dataset,MARY S HARPER GERIATRIC PSYCHIATRY CENTER hospital TUSCALOOSA AL official website,
014016,"SANCTUARY AT THE WOODLANDS, THE","1910 CHEROKEE AVENUE, SW",CULLMAN,AL,35055,hpt-obf:v1:DJWfyZtQj5kzKeK4.Pn-5gmClaKP8hNQm1SX1OQ.deu033lBP469xQDk7U0,Psychiatric,,no-domain,exa-domain-lookup,no domain in the seed dataset,"SANCTUARY AT THE WOODLANDS, THE hospital CULLMAN AL official website",
