ccn,hospital_name,city,state,old_finding,domain,pointer_url,mrf_url,fresh_http_status,fresh_range_status,header_status,matched_ccns,mrf_hospital_name,mrf_license_state,mrf_last_updated,checked_at
050360,MARINHEALTH MEDICAL CENTER,GREENBRAE,CA,mrf-url-unreachable,mymarinhealth.org,https://mymarinhealth.org/cms-hpt.txt,https://apim.services.craneware.com/api-pricing-transparency/api/public/cc145ba21e574ef7da4a1ed8325d54f9/charges/mrf,404,200,matched,050360,MarinHealth Medical Center,CA,2026-03-26,2026-09-06T19:41:52.844Z
050597,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,GLENDORA,CA,mrf-url-unreachable,emanatehealth.org,https://www.emanatehealth.org/cms-hpt.txt,https://www.emanatehealth.org/clientfiles/getfile/952413054_emanate-health-foothill-presbyterian-hospital_standardcharges.csv,405,200,matched,050597,Emanate Health Foothill Presbyterian Hospital,CA,2026-04-01,2026-09-06T19:55:08.824Z
051326,PLUMAS DISTRICT HOSPITAL,QUINCY,CA,mrf-url-unreachable,pdh.org,https://pdh.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbPDHQUINCYCA&type=CDMWithoutLabel&fileType=CSV,200,200,matched,051326,PLUMAS DISTRICT HOSPITAL,CA,2026-08-05,2026-09-06T19:54:29.175Z
051338,COALINGA REGIONAL MEDICAL CENTER,COALINGA,CA,mrf-url-unreachable,crmcmed.org,https://crmcmed.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbCRMCCOALINGACA&type=CDMWithoutLabel&fileType=CSV,200,200,matched,051338,COALINGA MEDICAL CENTER LLC,CA,2026-08-31,2026-09-06T19:44:12.519Z
131301,BOUNDARY COMMUNITY HOSPITAL,BONNERS FERRY,ID,mrf-url-unreachable,boundarycommunityhospital.org,https://boundarycommunityhospital.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbBCHBONNERSFERRYID&type=CDMWithoutLabel&fileType=CSV,200,200,matched,131301,BOUNDARY COMMUNITY HOSPITAL,ID,2026-07-17,2026-09-06T19:43:10.659Z
131305,STEELE MEMORIAL MEDICAL CENTER,SALMON,ID,mrf-url-unreachable,steelemh.org,https://steelemh.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbSteeleMemorial&type=CDMWithoutLabel&fileType=CSV,200,200,matched,131305,Steele Memorial Medical Center,ID,2026-02-26,2026-09-06T19:55:19.075Z
131317,BENEWAH COMMUNITY HOSPITAL,SAINT MARIES,ID,mrf-url-unreachable,bchmed.org,https://bchmed.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbBCHSAINTMARIESID&type=CDMWithoutLabel&fileType=CSV,200,200,matched,131317,BENEWAH COMMUNITY HOSPITAL,ID,2025-11-10,2026-09-06T19:43:11.476Z
131325,BINGHAM MEMORIAL HOSPITAL,BLACKFOOT,ID,mrf-url-unreachable,binghammemorial.org,https://binghammemorial.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbBMHECBlackfootID&type=CDMWithoutLabel&fileType=CSV,200,200,matched,131325,BINGHAM MEMORIAL HOSPITAL,ID,2026-02-02,2026-09-06T19:43:16.872Z
131328,BONNER GENERAL HOSPITAL,SANDPOINT,ID,mrf-url-unreachable,bonnergeneral.org,https://bonnergeneral.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbBGHSSANDPOINTID&type=CDMWithoutLabel&fileType=CSV,200,200,matched,131328,BONNER GENERAL HOSPITAL INC,ID,2026-08-01,2026-09-06T19:42:01.062Z
140068,ROSELAND COMMUNITY HOSPITAL,CHICAGO,IL,mrf-url-unreachable,roselandhospital.org,https://roselandhospital.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbRCHCHICAGOIL&type=CDMWithoutLabel&fileType=CSV,200,200,matched,140068,ROSELAND COMMUNITY HOSPITAL ASSOCIATION,IL,2026-07-01,2026-09-06T19:54:55.845Z
140189,SARAH BUSH LINCOLN HEALTH CENTER,MATTOON,IL,mrf-url-unreachable,sarahbush.org,https://sarahbush.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbSarahBush&type=CDMWithoutLabel&fileType=CSV,200,200,matched,140189,Sarah Bush Lincoln Health Center,IL,2026-06-03,2026-09-06T19:54:54.794Z
141300,THOMAS H BOYD MEMORIAL HOSPITAL,CARROLLTON,IL,mrf-url-unreachable,boydhcs.org,https://boydhcs.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbTHBCCARROLLTONIL&type=CDMWithoutLabel&fileType=CSV,200,200,matched,141300,THOMAS H BOYD MEMORIAL HOSPITAL,IL,2026-07-07,2026-09-06T19:55:45.388Z
141312,ROCHELLE COMMUNITY HOSPITAL,ROCHELLE,IL,mrf-url-unreachable,rochellehospital.com,https://rochellehospital.com/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbRCHROCHELLEIL&type=CDMWithoutLabel&fileType=CSV,200,200,matched,141312,Rochelle Community Hospital Association,IL,2026-08-06,2026-09-06T19:54:56.528Z
