old_finding,new_finding,count
compliant-date-unverified,compliant-observed,253
mrf-url-unreachable,compliant-observed,81
not-assessed-site-unreachable,no-cms-hpt-txt-published,32
not-assessed-site-unreachable,not-assessed-not-named-in-file,21
pointer-blocked-to-automation,not-assessed-not-named-in-file,14
compliant-date-unverified,mrf-stale-over-365-days,12
mrf-stale-over-365-days,compliant-observed,8
no-cms-hpt-txt-published,pointer-blocked-to-automation,6
not-assessed-not-named-in-file,compliant-observed,6
no-cms-hpt-txt-published,not-assessed-not-named-in-file,6
compliant-date-unverified,old-template-version,5
old-template-version,compliant-observed,4
not-assessed-site-unreachable,pointer-blocked-to-automation,4
no-cms-hpt-txt-published,not-assessed-site-unreachable,4
not-assessed-domain-unknown,compliant-observed,3
compliant-date-unverified,mrf-blocked-to-automation,3
mrf-url-unreachable,mrf-blocked-to-automation,3
compliant-date-unverified,mrf-url-unreachable,2
not-assessed-site-unreachable,compliant-observed,2
not-assessed-domain-unknown,no-cms-hpt-txt-published,1
mrf-stale-over-365-days,old-template-version,1
pointer-blocked-to-automation,no-cms-hpt-txt-published,1
mrf-blocked-to-automation,compliant-observed,1
compliant-observed,mrf-stale-over-365-days,1
no-cms-hpt-txt-published,compliant-observed,1
mrf-url-unreachable,compliant-date-unverified,1
not-assessed-not-named-in-file,not-assessed-site-unreachable,1
