ccn,hospital_name,state,old_intervention,old_finding,result,corroborated_files,pointer_attempts,pointer_entries,homepage_url,homepage_status,homepage_error,candidates_checked,prior_mrf_status,verified_mrf_url,fresh_date,verified_pointer_url,fresh_metadata,fresh_version,old_date,old_version,checked_at
011306,TANNER MEDICAL CENTER-EAST ALABAMA,AL,stale-file,mrf-stale-over-365-days,pointer-and-identity-verified,1,https://tanner.org/cms-hpt.txt [200],5,,,,2,404,https://www.tanner.org/upload/docs/PDFs/FinancialAssistance/475348597_Tanner-Medical-Center---East-Alabama_standardcharges.csv,2026-03-24,https://tanner.org/cms-hpt.txt,date-within-365-days-version-3,3.0.0,2024-07-01,2.0.0,2026-09-09T01:24:23.176Z
041330,PIGGOTT COMMUNITY HOSPITAL,AR,waf-blocked,pointer-blocked-to-automation,pointer-and-identity-verified,1,https://piggotthealthsystem.com/cms-hpt.txt [200],1,,,,1,,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbPCHPIGGOTTAR&type=CDM&fileType=CSV,2026-04-02,https://piggotthealthsystem.com/cms-hpt.txt,date-within-365-days-version-3,3.00,,,2026-09-09T01:24:23.387Z
050128,TRI-CITY MEDICAL CENTER,CA,old-template,old-template-version,pointer-and-identity-verified,1,https://tricitymed.org/cms-hpt.txt [200],1,,,,2,206,https://downloads.ctfassets.net/pxcfulgsd9e2/4gjlqHWnZQNgtiSy8ZJLrL/462e87c011e61ee6d9262dedaaddd95d/952126937_tricity-medical-center_standardcharges.csv,2026-05-29,https://tricitymed.org/cms-hpt.txt,date-within-365-days-version-3,3.0.0,2025-10-03,2.0.0,2026-09-09T01:24:24.824Z
100161,CENTRAL FLORIDA LAKE MONROE HOSPITAL,FL,server-blocked,mrf-blocked-to-automation,pointer-and-identity-verified,1,https://hcafloridahealthcare.com/cms-hpt.txt [200],114,,,,3,403,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/59-1978725_HCA-FLORIDA-LAKE-MONROE-HOSPITAL_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-03-01,https://www.hcafloridahealthcare.com/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:27.063Z
100134,ED FRASER MEMORIAL HOSPITAL,FL,mrf-gone,mrf-url-unreachable,pointer-and-identity-verified,1,https://edfraserhospital.com/cms-hpt.txt [200],1,,,,2,404,https://hospitalpricetransparencyfiles.com/baker-county-medical-services-inc/593202547_Baker-County-Medical-Services-Inc_standardcharges.csv,2025-11-12,https://edfraserhospital.com/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:27.163Z
100266,GULF BREEZE HOSPITAL,FL,format-unusable,compliant-date-unverified,pointer-and-identity-verified,1,https://www.ebaptisthealthcare.org/cms-hpt.txt [200],3,,,,1,200,https://baptisthealthcare.pt.panaceainc.com/MRFDownload/baptisthealthcare/glfbreeze,2025-12-23,https://www.ebaptisthealthcare.org/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:27.174Z
100256,HCA FLORIDA BAYONET POINT HOSPITAL,FL,server-blocked,mrf-blocked-to-automation,pointer-and-identity-verified,1,https://hcafloridahealthcare.com/cms-hpt.txt [200],114,,,,47,403,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/62-1113740_HCA-FLORIDA-BAYONET-POINT-HOSPITAL_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-03-01,https://www.hcafloridahealthcare.com/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:27.897Z
100213,HCA FLORIDA BLAKE HOSPITAL,FL,server-blocked,mrf-blocked-to-automation,pointer-and-identity-verified,1,https://hcafloridahealthcare.com/cms-hpt.txt [200],114,,,,47,403,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/62-1113740_HCA-FLORIDA-BLAKE-HOSPITAL_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-03-01,https://www.hcafloridahealthcare.com/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:28.269Z
100023,HCA FLORIDA CITRUS HOSPITAL,FL,server-blocked,mrf-blocked-to-automation,pointer-and-identity-verified,1,https://hcafloridahealthcare.com/cms-hpt.txt [200],114,,,,47,403,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/47-1455535_HCA-FLORIDA-CITRUS-HOSPITAL_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-03-01,https://www.hcafloridahealthcare.com/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:29.527Z
100267,HCA FLORIDA ENGLEWOOD HOSPITAL,FL,server-blocked,mrf-blocked-to-automation,pointer-and-identity-verified,1,https://hcafloridahealthcare.com/cms-hpt.txt [200],114,,,,47,403,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/35-1611050_HCA-FLORIDA-ENGLEWOOD-HOSPITAL_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-03-01,https://www.hcafloridahealthcare.com/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:29.941Z
100242,HCA FLORIDA GULF COAST HOSPITAL,FL,server-blocked,mrf-blocked-to-automation,pointer-and-identity-verified,1,https://hcafloridahealthcare.com/cms-hpt.txt [200],114,,,,47,403,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/62-0976863_HCA-FLORIDA-GULF-COAST-HOSPITAL_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-03-01,https://www.hcafloridahealthcare.com/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:30.683Z
100049,HCA FLORIDA HIGHLANDS HOSPITAL,FL,server-blocked,mrf-blocked-to-automation,pointer-and-identity-verified,1,https://hcafloridahealthcare.com/cms-hpt.txt [200],114,,,,47,403,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/82-2084329_HCA-FLORIDA-HIGHLANDS-HOSPITAL_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-03-01,https://www.hcafloridahealthcare.com/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:31.162Z
100248,HCA FLORIDA LARGO HOSPITAL,FL,server-blocked,mrf-blocked-to-automation,pointer-and-identity-verified,1,https://hcafloridahealthcare.com/cms-hpt.txt [200],114,,,,47,403,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/62-1026428_HCA-FLORIDA-LARGO-HOSPITAL_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-03-01,https://www.hcafloridahealthcare.com/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:32.776Z
100246,HCA FLORIDA LAWNWOOD HOSPITAL,FL,server-blocked,mrf-blocked-to-automation,pointer-and-identity-verified,1,https://hcafloridahealthcare.com/cms-hpt.txt [200],114,,,,47,403,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/59-1764486_HCA-FLORIDA-LAWNWOOD-HOSPITAL_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-03-01,https://www.hcafloridahealthcare.com/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:33.125Z
100167,HCA FLORIDA MERCY HOSPITAL,FL,server-blocked,mrf-blocked-to-automation,pointer-and-identity-verified,1,https://hcafloridahealthcare.com/cms-hpt.txt [200],114,,,,47,403,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/75-2482249_HCA-FLORIDA-WESTSIDE-HOSPITAL_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-03-01,https://www.hcafloridahealthcare.com/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:33.894Z
100238,HCA FLORIDA NORTHSIDE HOSPITAL,FL,server-blocked,mrf-blocked-to-automation,pointer-and-identity-verified,1,https://hcafloridahealthcare.com/cms-hpt.txt [200],114,,,,47,403,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/61-0947837_HCA-FLORIDA-NORTHSIDE-HOSPITAL_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-03-01,https://www.hcafloridahealthcare.com/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:34.691Z
100189,HCA FLORIDA NORTHWEST HOSPITAL,FL,server-blocked,mrf-blocked-to-automation,pointer-and-identity-verified,1,https://hcafloridahealthcare.com/cms-hpt.txt [200],114,,,,47,403,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/61-1259843_HCA-FLORIDA-NORTHWEST-HOSPITAL_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-03-01,https://www.hcafloridahealthcare.com/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:35.259Z
100264,HCA FLORIDA OAK HILL HOSPITAL,FL,server-blocked,mrf-blocked-to-automation,pointer-and-identity-verified,1,https://hcafloridahealthcare.com/cms-hpt.txt [200],114,,,,47,403,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/62-1113740_HCA-FLORIDA-OAK-HILL-HOSPITAL_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-03-01,https://www.hcafloridahealthcare.com/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:35.722Z
100269,HCA FLORIDA PALMS WEST HOSPITAL,FL,server-blocked,mrf-blocked-to-automation,pointer-and-identity-verified,1,https://hcafloridahealthcare.com/cms-hpt.txt [200],114,,,,47,403,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/62-1694178_HCA-FLORIDA-PALMS-WEST-HOSPITAL_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-03-01,https://www.hcafloridahealthcare.com/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:37.500Z
100232,HCA FLORIDA PUTNAM HOSPITAL,FL,server-blocked,mrf-blocked-to-automation,pointer-and-identity-verified,1,https://hcafloridahealthcare.com/cms-hpt.txt [200],114,,,,47,403,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/47-2762362_HCA-FLORIDA-PUTNAM-HOSPITAL_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-03-01,https://www.hcafloridahealthcare.com/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:38.865Z
100252,HCA FLORIDA RAULERSON HOSPITAL,FL,server-blocked,mrf-blocked-to-automation,pointer-and-identity-verified,1,https://hcafloridahealthcare.com/cms-hpt.txt [200],114,,,,47,403,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/59-1833934_HCA-FLORIDA-RAULERSON-HOSPITAL_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-03-01,https://www.hcafloridahealthcare.com/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:39.428Z
100206,HCA FLORIDA SOUTH TAMPA HOSPITAL,FL,server-blocked,mrf-blocked-to-automation,pointer-and-identity-verified,1,https://hcafloridahealthcare.com/cms-hpt.txt [200],114,,,,47,403,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/36-4764806_HCA-FLORIDA-SOUTH-TAMPA-HOSPITAL_standardcharges.json?si=dpx-pt-json-access-policy&spr=https&sv=2026-02-06&sr=c&sig=ks%2BgfAjyEHlZmeP2PYJ%2f9NpMuCoRStjTb2bhIy9Y6LM%3D,2026-03-01,https://www.hcafloridahealthcare.com/cms-hpt.txt,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:41.291Z
