ccn,hospital_name,old_intervention,roster_state,roster_city,roster_address,pointer_url,mrf_url,http_status,declared_date,version,header_hospital,header_state,header_address,header_location,identity,header_matched_ccns,checked_at,wider_read_recovered,error,html
010023,BAPTIST MEDICAL CENTER SOUTH,format-unusable,AL,MONTGOMERY,2105 EAST SOUTH BOULEVARD,https://www.baptistjax.com/cms-hpt.txt,https://baptistjacksonville.pt.panaceainc.com/MRFDownload/baptistjacksonville/baptistsouth,200,2026-02-06,3.0.0,"Southern Baptist Hospital of Florida, INC",FL,"14550 Old St. Augustine Rd Jacksonville, FL 32258",Baptist Medical Center South,mrf-header-does-not-match-unresolved-roster,,2026-09-09T01:11:02.675Z,,,
070036,JOHN DEMPSEY HOSPITAL OF THE UNIVERSITY OF CONNECT,format-unusable,CT,FARMINGTON,263 FARMINGTON AVE,https://health.uconn.edu/cms-hpt.txt,https://uconnhealth.pt.panaceainc.com/MRFDownload/uconnhealth/uconnhealth,200,2026-07-01,3.0.0,State of Connecticut,CT,"263 Farmington Avenue, Farmington CT 06030",John Dempsey Hospital,mrf-header-does-not-match-unresolved-roster,,2026-09-09T01:11:02.520Z,,,
100105,CLEVELAND CLINIC INDIAN RIVER HOSPITAL,format-unusable,FL,VERO BEACH,1000 36TH ST,https://my.clevelandclinic.org/cms-hpt.txt,https://clevelandclinic.pt.panaceainc.com/MRFDownload/clevelandclinic/indianriver,200,2026-06-15,3.0.0,INDIAN RIVER MEMORIAL HOSPITAL INC,FL,"1000 36th Street, Vero Beach, FL 32960",Indian River Hospital,mrf-header-does-not-match-unresolved-roster,,2026-09-09T01:11:11.654Z,,,
100266,GULF BREEZE HOSPITAL,format-unusable,FL,GULF BREEZE,1110 GULF BREEZE PKWY,https://www.ebaptisthealthcare.org/cms-hpt.txt,https://baptisthealthcare.pt.panaceainc.com/MRFDownload/baptisthealthcare/glfbreeze,200,2025-12-23,3.0.0,Baptist Health Care Inc,FL,"1110 Gulf Breeze Parkway, Gulf Breeze FL 32561",Gulf Breeze Hospital,matched,100266,2026-09-09T01:11:10.474Z,,,
100330,HALIFAX HEALTH /UF HEALTH MEDICAL CENTER OF DELTON,format-unusable,FL,DELTONA,3300 HALIFAX CROSSINGS BLVD,https://halifaxhealth.org/cms-hpt.txt,https://halifax.pt.panaceainc.com/MRFDownload/halifax/deltona,200,2026-08-05,3.0.0,medical center of deltona inc,FL,"3300 Halifax Crossing Blv, Deltona FL 32725",Medical Center of Deltona,mrf-header-does-not-match-unresolved-roster,,2026-09-09T01:11:12.535Z,,,
140008,LOYOLA GOTTLIEB MEMORIAL HOSPITAL,format-unusable,IL,MELROSE PARK,701 WEST NORTH AVE,https://www.loyolamedicine.org/sites/default/files/cms-hpt.txt,https://trinityhealth.pt.panaceainc.com/MRFDownload/trinityhealth/gottliebmemorialhospital,200,2026-03-31,3.0.0,Gottlieb Memorial Hospital,IL,"701 W. North Ave, Melrose Park, IL 60160",Gottlieb Memorial Hospital,matched,140008,2026-09-09T01:12:05.558Z,,,
251320,CLAIBORNE COUNTY HOSPITAL,format-unusable,MS,PORT GIBSON,123 MCCOMB AVENUE,https://www.ccmcms.org/cms-hpt.txt,https://www.ccmcms.us/docs/844_BILLINGITEMSLIST_CsvWidev3.0.0_20260521154214.csv,206,2026-05-21,3.0.0,CLAIBORNE COUNTY HOSPITAL,MS,"123 MCCOMB AVE, PORT GIBSON, MS, 39150",CLAIBORNE COUNTY HOSPITAL,matched,251320,2026-09-09T01:13:15.955Z,,,
291306,CARSON VALLEY HEALTH,format-unusable,NV,GARDNERVILLE,1107 HIGHWAY 395,,https://carsonvalleyhealth.pt.panaceainc.com/MRFDownload/carsonvalleyhealth/carsonvalley,200,2026-03-27,3.0.0,Washoe Barton Medical Clinic DBA Carson Valley Health,NV,"1107 Highway 395 North, Gardnerville NV 89410|1107 Highway 395 North, Gardnerville NV 89410",Carson Valley Health CAH|Carson Valley Health Swingbed,matched,291306,2026-09-09T01:13:26.472Z,,,
330090,ARNOT OGDEN MEDICAL CENTER,format-unusable,NY,ELMIRA,600 ROE AVENUE,https://arnothealth.org/cms-hpt.txt,https://CayugaHealth.pt.panaceainc.com/MRFDownload/CayugaHealth/aomc,200,2026-03-27,3.0.0,Arnot Ogden Medical Center,NY,"600 Roe Avenue, Elmira NY 14905",Arnot Ogden Medical Center,matched,330090,2026-09-09T01:14:00.787Z,,,
330204,BELLEVUE HOSPITAL CENTER,format-unusable,NY,NEW YORK,462 FIRST AVENUE,https://www.nychealthandhospitals.org/cms-hpt.txt,https://nychh.pt.panaceainc.com/MRFDownload/nychh/bellevue,200,2026-09-05,3.0.0,New York City Health and Hospitals Corporation,NY,"462 1st Ave New York, NY 10016",Bellevue Hospital Center,matched,330204,2026-09-09T01:14:01.212Z,,,
