ccn,hospital_name,old_intervention,roster_state,roster_city,roster_address,pointer_url,mrf_url,http_status,declared_date,version,header_hospital,header_state,header_address,header_location,identity,header_matched_ccns,checked_at,wider_read_recovered,error,html
021310,MANIILAQ HEALTH CENTER,format-unusable,AK,KOTZEBUE,PO BOX 43,https://maniilaq.mdsave.com/cms-hpt.txt,https://mdsave-system.s3.amazonaws.com/master/temp/TransparencyMandate/maniilaq_2025_chargemaster.csv,206,,,,,,,mrf-header-has-no-license-state,,2026-09-09T01:10:46.984Z,,,
021314,SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM,stale-file,AK,SITKA,222 TONGASS DR,,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbSARHCSITKAAK&type=CDMWithoutLabel,200,2024-12-09,2.0.0,SouthEast Alaska Regional Health Consortium (SEARHC),AK,222 Tongass Dr Sitka AK 99835,SouthEast Alaska Regional Health Consortium (SEARHC),matched,021314,2026-09-09T01:10:46.986Z,,,
010169,ATMORE COMMUNITY HOSPITAL,stale-file,AL,ATMORE,401 MEDICAL PARK DRIVE,https://www.atmorehealth.org/cms-hpt.txt,http://www.atmorehealth.org/docs/1336_BILLINGITEMLIST_CsvTallv2.0.0_20250401195853.csv,206,2025-04-01,2.0.0,Escambia County Healthcare Authority,AL,"401 Medical Park Dr, Atmore, AL, 36502",Atmore Community Hospital,matched,010169,2026-09-09T01:10:46.988Z,,,
010023,BAPTIST MEDICAL CENTER SOUTH,format-unusable,AL,MONTGOMERY,2105 EAST SOUTH BOULEVARD,https://www.baptistjax.com/cms-hpt.txt,https://baptistjacksonville.pt.panaceainc.com/MRFDownload/baptistjacksonville/baptistbeaches,,,,,,,,mrf-header-unreachable,,2026-09-09T01:10:46.988Z,,socket hang up,
010023,BAPTIST MEDICAL CENTER SOUTH,format-unusable,AL,MONTGOMERY,2105 EAST SOUTH BOULEVARD,https://www.baptistjax.com/cms-hpt.txt,https://baptistjacksonville.pt.panaceainc.com/MRFDownload/baptistjacksonville/baptistclay,,,,,,,,mrf-header-unreachable,,2026-09-09T01:11:00.212Z,,socket hang up,
010023,BAPTIST MEDICAL CENTER SOUTH,format-unusable,AL,MONTGOMERY,2105 EAST SOUTH BOULEVARD,https://www.baptistjax.com/cms-hpt.txt,https://baptistjacksonville.pt.panaceainc.com/MRFDownload/baptistjacksonville/baptistjacksonville,,,,,,,,mrf-header-unreachable,,2026-09-09T01:11:00.837Z,,socket hang up,
010023,BAPTIST MEDICAL CENTER SOUTH,format-unusable,AL,MONTGOMERY,2105 EAST SOUTH BOULEVARD,https://www.baptistjax.com/cms-hpt.txt,https://baptistjacksonville.pt.panaceainc.com/MRFDownload/baptistjacksonville/baptistnassau,,,,,,,,mrf-header-unreachable,,2026-09-09T01:11:01.462Z,,socket hang up,
010023,BAPTIST MEDICAL CENTER SOUTH,format-unusable,AL,MONTGOMERY,2105 EAST SOUTH BOULEVARD,https://www.baptistjax.com/cms-hpt.txt,https://baptistjacksonville.pt.panaceainc.com/MRFDownload/baptistjacksonville/baptistsouth,200,2026-02-06,3.0.0,"Southern Baptist Hospital of Florida, INC",FL,"14550 Old St. Augustine Rd Jacksonville, FL 32258",Baptist Medical Center South,mrf-header-does-not-match-unresolved-roster,,2026-09-09T01:11:02.675Z,,,
014015,BEACON CHILDREN'S HOSPITAL,old-template,AL,LUVERNE,150 HOSPITAL DRIVE,https://www.perimeterhealthcare.com/cms-hpt.txt,https://www.perimeterhealthcare.com/beacon/201643917_Professional-Resources-Management-Psychiatric-Services_standardcharges.csv,206,2025-11-20,2.0.0,"Professional Resources Management Psychiatric Services, LLC",AL,"150 Hospital Drive, Luverne AL 36049",Luverne AL,mrf-header-does-not-match-unresolved-roster,,2026-09-09T01:10:46.989Z,,,
010073,CLAY COUNTY HOSPITAL,format-unusable,AL,ASHLAND,83825 HIGHWAY 9    P O BOX 1270,https://www.claycountyhospital.com/cms-hpt.txt,https://www.claycountyhospital.com/getpage.php?name=Hospital_Pricing,200,,,,,,,mrf-header-has-no-license-state,,2026-09-09T01:10:46.990Z,,,yes
010164,COOSA VALLEY MEDICAL CENTER,format-unusable,AL,SYLACAUGA,315 W HICKORY ST,https://www.cvhealth.net/cms-hpt.txt,https://secure.claraprice.net/price-transparency/IXIY-1769634466888/machine-readable/201282261_coosa-valley-medical-center_standardcharges.json,200,,,Sylacauga Health Care Authority DBA Coosa Valley Medical Center dba Coosa Valley Medical Center,,,,mrf-header-has-no-license-state,,2026-09-09T01:10:46.990Z,,,
011308,CRENSHAW COMMUNITY HOSPITAL,old-template,AL,LUVERNE,101 HOSPITAL CIRCLE,https://crenshawcommunityhospital.com/wp-content/uploads/2025/11/cms-hpt.txt,https://crenshawcommunityhospital.com/wp-content/uploads/2025/10/000817582_crenshaw-community-hospital_standardcharges-2.csv,206,2025-10-13,2.0.0,Crenshaw County Health Care Authority,AL,"101 Hospital Circle, Luverne, AL, 36049",Crenshaw Community Hospital,matched,011308,2026-09-09T01:10:46.991Z,,,
010099,D W MCMILLAN MEMORIAL HOSPITAL,stale-file,AL,BREWTON,1301 BELLEVILLE AVENUE,https://www.dwmmh.org/cms-hpt.txt,http://www.dwmmh.org/docs/1336_BILLINGITEMLIST_CsvTallv2.0.0_20250305220544.csv,206,2025-03-05,2.0.0,Escambia County Healthcare Authority,AL,"1301 Belleville Ave, Brewton, AL, 36426",D.W. McMillan Memorial Hospital,matched,010099,2026-09-09T01:10:46.991Z,,,
010092,DCH REGIONAL MEDICAL CENTER,format-unusable,AL,TUSCALOOSA,809 UNIVERSITY BOULEVARD EAST,https://www.dchsystem.com/cms-hpt.txt,https://dch.pt.panaceainc.com/MRFDownload/dch/rmc,,,,,,,,mrf-header-unreachable,,2026-09-09T01:10:46.992Z,,socket hang up,
010012,DEKALB REGIONAL MEDICAL CENTER,name-ambiguous,AL,FORT PAYNE,200 MED CENTER DRIVE,https://dekalbregional.com/cms-hpt.txt,https://dekalbregional.org/wp-content/uploads/934333907_Dekalb-Regional-Medical-Center_standardcharges.csv,,,,,,,,mrf-header-unreachable,,2026-09-09T01:10:46.992Z,,getaddrinfo ENOTFOUND dekalbregional.org,
010148,EVERGREEN MEDICAL CENTER,waf-blocked,AL,EVERGREEN,101 CRESTVIEW AVENUE,https://www.evergreenmedical.org/cms-hpt.txt,https://irp.cdn-website.com/1a9867e2/files/uploaded/208057151_evergreenmedicalcenter_standardcharges.csv,403,,,,,,,mrf-header-unreachable,,2026-09-09T01:10:46.993Z,,,
010045,FAYETTE MEDICAL CENTER,format-unusable,AL,FAYETTE,1653 TEMPLE AVENUE NORTH,https://www.dchsystem.com/cms-hpt.txt,https://dch.pt.panaceainc.com/MRFDownload/dch/fayette,,,,,,,,mrf-header-unreachable,,2026-09-09T01:10:59.023Z,,socket hang up,
010168,JACK HUGHSTON MEMORIAL HOSPITAL,mrf-gone,AL,PHENIX CITY,4401 RIVER CHASE DRIVE,https://al.hughston.com/cms-hpt.txt,https://al.hughston.com/wp-content/uploads/sites/8/2024/02/331058243_jack-hughston-memorial-hospital_standardcharges.json,404,,,,,,,mrf-header-unreachable,,2026-09-09T01:10:46.993Z,,,
010007,MIZELL MEMORIAL HOSPITAL,stale-file,AL,OPP,702 N MAIN ST,https://www.mizellmh.com/cms-hpt.txt,"https://www.mizellmh.com/docs/630307951_Mizell-Memorial-Hospital,-Inc._standardcharges.csv",206,2025-01-01,2.0.0,"Mizell Memorial Hospital, Inc.",AL,"702 N Main St, PO Box 1010, Opp, AL, 36467",Mizell Memorial Hospital,matched,010007,2026-09-09T01:10:46.994Z,,,
010007,MIZELL MEMORIAL HOSPITAL,stale-file,AL,OPP,702 N MAIN ST,https://www.mizellmh.com/cms-hpt.txt,https://www.mizellmh.com/docs/630307951_mizell-memorial-hospital-inc-elba-healthcare_standardcharges.csv,206,2026-03-28,3.0.0,"Mizell Memorial Hospital, Inc.",AL,"918 Drayton Ave, Elba, AL, 36323",Elba Healthcare,mrf-header-name-without-location,,2026-09-09T01:10:58.540Z,,,
014006,MOUNTAIN VIEW HOSPITAL,stale-file,AL,GADSDEN,3201 SCENIC HIGHWAY,https://www.mtnviewhospital.com/cms-hpt.txt,https://www.mtnviewhospital.com/transparency/631050236_mountain-view-hospital_standardcharges.csv,206,2024-12-04,2.0.0,MountainView Hospital,AL,"3001 Scenic Highway Gadsden,  AL  35904",MountainView Hospital,mrf-header-does-not-match-unresolved-roster,,2026-09-09T01:10:46.995Z,,,
011304,OCHSNER CHOCTAW GENERAL,name-ambiguous,AL,BUTLER,"401 VANITY FAIR LANE, PO BOX 618",https://www.ochsner.org/cms-hpt.txt,https://ochsner-craft.s3.amazonaws.com/core/720502505_ochsner-clinic-foundation_standardcharges.csv_2026-03-26-204318_iros.csv,206,2026-04-01,3.0.0,OCHSNER CLINIC FOUNDATION,LA,"1516 Jefferson Highway New Orleans, LA 70121|2614 Jefferson Highway, 3rd fl, Jefferson, LA 70121|2500 Belle Chasse Hwy Gretna, LA 70056|2700 Napoleon Ave New Orleans, LA 70115|1221 S. Clearview Pkwy, Bldg. A 1st Floor Jefferson, LA 70121|4430 Veterans Memorial Blvd.Metairie, LA 70006",OCHSNER MEDICAL CENTER|OCHSNER MEDICAL CENTER- West Campus|Ochsner Medical Center - West Bank Campus|Ochsner Baptist|Ochsner Hospital for Orthopedics and Sports Medicine|Ochsner Medical Complex � Clearview,header-matches-other-roster-hospital,190036,2026-09-09T01:10:46.996Z,,,
011304,OCHSNER CHOCTAW GENERAL,name-ambiguous,AL,BUTLER,"401 VANITY FAIR LANE, PO BOX 618",https://www.ochsner.org/cms-hpt.txt,https://ochsner-craft.s3.amazonaws.com/core/205432782_ochsner-medical-center-%E2%80%93-kenner-llc_standardcharges.csv_2026-03-26-185111_faht.csv,206,2026-04-01,3.0.0,OCHSNER MEDICAL CENTER � KENNER LLC,LA,"180 West Esplanade Ave Kenner, LA 70065",OCHSNER MEDICAL CENTER � KENNER,header-matches-other-roster-hospital,190274,2026-09-09T01:10:58.597Z,,,
