ccn,hospital_name,state,old_intervention,old_finding,result,corroborated_files,pointer_attempts,pointer_entries,homepage_url,homepage_status,homepage_error,candidates_checked,prior_mrf_status,verified_mrf_url,fresh_date,verified_pointer_url,fresh_metadata,fresh_version,old_date,old_version,checked_at
021310,MANIILAQ HEALTH CENTER,AK,format-unusable,compliant-date-unverified,mrf-reachable-review-required,0,https://maniilaq.mdsave.com/cms-hpt.txt [200],1,,,,1,206,,,,date-unverified,,,,2026-09-09T01:24:21.616Z
021311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,AK,manual-review,pointer-blocked-to-automation,access-or-discovery-unresolved,0,https://peacehealth.org/cms-hpt.txt [403] | https://www.peacehealth.org/cms-hpt.txt [403],0,https://peacehealth.org/,403,,0,,,,,date-unverified,,,,2026-09-09T01:24:21.621Z
021312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,AK,connection-dead,not-assessed-site-unreachable,access-or-discovery-unresolved,0,https://arcticslope.org/cms-hpt.txt [404] | https://www.arcticslope.org/cms-hpt.txt [404],0,https://arcticslope.org/,200,,0,,,,,date-unverified,,,,2026-09-09T01:24:21.623Z
021305,SEARHC WRANGELL MEDICAL CENTER & LTC,AK,file-404,no-cms-hpt-txt-published,access-or-discovery-unresolved,0,https://searhc.org/cms-hpt.txt [404] | https://www.searhc.org/cms-hpt.txt [404],0,https://searhc.org/,200,,0,,,,,date-unverified,,,,2026-09-09T01:24:21.624Z
021314,SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM,AK,stale-file,mrf-stale-over-365-days,mrf-reachable-review-required,0,https://apps.para-hcfs.com/cms-hpt.txt [404] | https://www.apps.para-hcfs.com/cms-hpt.txt [getaddrinfo ENOTFOUND www.apps.para-hcfs.com],0,https://apps.para-hcfs.com/,200,,1,200,,2024-12-09,,date-over-365-days,2.0.0,2024-12-09,2.0.0,2026-09-09T01:24:21.628Z
010036,ANDALUSIA HEALTH,AL,client-rejected,not-assessed-site-unreachable,access-or-discovery-unresolved,0,https://andalusiahealth.com/cms-hpt.txt [406] | https://www.andalusiahealth.com/cms-hpt.txt [406],0,https://andalusiahealth.com/,406,,0,,,,,date-unverified,,,,2026-09-09T01:24:21.629Z
010079,ATHENS LIMESTONE HOSPITAL,AL,dns-dead,not-assessed-site-unreachable,access-or-discovery-unresolved,0,https://huntsvillehospital.org/cms-hpt.txt [getaddrinfo ENOTFOUND huntsvillehospital.org] | https://www.huntsvillehospital.org/cms-hpt.txt [getaddrinfo ENOTFOUND www.huntsvillehospital.org],0,https://huntsvillehospital.org/,,request timeout,0,,,,,date-unverified,,,,2026-09-09T01:24:21.632Z
010169,ATMORE COMMUNITY HOSPITAL,AL,stale-file,mrf-stale-over-365-days,pointer-and-identity-verified,1,https://atmorehealth.org/cms-hpt.txt [200],1,,,,1,206,http://www.atmorehealth.org/docs/1336_BILLINGITEMLIST_CsvTallv2.0.0_20250401195853.csv,2025-04-01,https://www.atmorehealth.org/cms-hpt.txt,date-over-365-days,2.0.0,2025-04-01,2.0.0,2026-09-09T01:24:21.639Z
010083,BALDWIN HEALTH,AL,file-404,no-cms-hpt-txt-published,access-or-discovery-unresolved,0,https://southbaldwinrmc.com/cms-hpt.txt [404] | https://www.southbaldwinrmc.com/cms-hpt.txt [404],0,https://southbaldwinrmc.com/,200,,0,,,,,date-unverified,,,,2026-09-09T01:24:21.644Z
010023,BAPTIST MEDICAL CENTER SOUTH,AL,format-unusable,compliant-date-unverified,mrf-reachable-review-required,0,https://baptistjax.com/cms-hpt.txt [200],11,,,,5,200,,2026-02-06,,date-within-365-days-version-3,3.0.0,,,2026-09-09T01:24:21.666Z
014015,BEACON CHILDREN'S HOSPITAL,AL,old-template,old-template-version,mrf-reachable-review-required,0,https://perimeterhealthcare.com/cms-hpt.txt [200],7,,,,1,206,,2025-11-20,,date-within-365-days-older-version,2.0.0,2025-11-20,2.0.0,2026-09-09T01:24:21.673Z
010073,CLAY COUNTY HOSPITAL,AL,format-unusable,compliant-date-unverified,mrf-reachable-review-required,0,https://claycountyhospital.com/cms-hpt.txt [200],1,,,,1,200,,,,date-unverified,,,,2026-09-09T01:24:21.673Z
010034,COMMUNITY HOSPITAL INC,AL,html-soft-block,no-cms-hpt-txt-published,access-or-discovery-unresolved,0,https://chal.org/cms-hpt.txt [200] | https://www.chal.org/cms-hpt.txt [200],0,https://chal.org/,200,,0,,,,,date-unverified,,,,2026-09-09T01:24:21.677Z
010164,COOSA VALLEY MEDICAL CENTER,AL,format-unusable,compliant-date-unverified,mrf-reachable-review-required,0,https://cvhealth.net/cms-hpt.txt [200],1,,,,1,200,,,,date-unverified,,,,2026-09-09T01:24:21.677Z
011308,CRENSHAW COMMUNITY HOSPITAL,AL,old-template,old-template-version,pointer-and-identity-verified,1,https://crenshawcommunityhospital.com/cms-hpt.txt [200],1,,,,1,206,https://crenshawcommunityhospital.com/wp-content/uploads/2025/10/000817582_crenshaw-community-hospital_standardcharges-2.csv,2025-10-13,https://crenshawcommunityhospital.com/wp-content/uploads/2025/11/cms-hpt.txt,date-within-365-days-older-version,2.0.0,2025-10-13,2.0.0,2026-09-09T01:24:21.684Z
010131,CRESTWOOD MEDICAL CENTER,AL,dns-dead,not-assessed-site-unreachable,access-or-discovery-unresolved,0,https://crestwoodmedcenter.com/cms-hpt.txt [getaddrinfo ENOTFOUND crestwoodmedcenter.com] | https://www.crestwoodmedcenter.com/cms-hpt.txt [getaddrinfo ENOTFOUND www.crestwoodmedcenter.com],0,https://crestwoodmedcenter.com/,,request timeout,0,,,,,date-unverified,,,,2026-09-09T01:24:21.687Z
010099,D W MCMILLAN MEMORIAL HOSPITAL,AL,stale-file,mrf-stale-over-365-days,pointer-and-identity-verified,1,https://dwmmh.org/cms-hpt.txt [200],1,,,,1,206,http://www.dwmmh.org/docs/1336_BILLINGITEMLIST_CsvTallv2.0.0_20250305220544.csv,2025-03-05,https://www.dwmmh.org/cms-hpt.txt,date-over-365-days,2.0.0,2025-03-05,2.0.0,2026-09-09T01:24:21.697Z
010092,DCH REGIONAL MEDICAL CENTER,AL,format-unusable,compliant-date-unverified,pointer-readable-review-required,0,https://www.dchsystem.com/cms-hpt.txt [200],3,,,,1,,,,,date-unverified,,,,2026-09-09T01:24:21.698Z
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,dns-dead,not-assessed-site-unreachable,access-or-discovery-unresolved,0,https://huntsvillehospital.org/cms-hpt.txt [getaddrinfo ENOTFOUND huntsvillehospital.org] | https://www.huntsvillehospital.org/cms-hpt.txt [getaddrinfo ENOTFOUND www.huntsvillehospital.org],0,https://huntsvillehospital.org/,,request timeout,0,,,,,date-unverified,,,,2026-09-09T01:24:21.699Z
010012,DEKALB REGIONAL MEDICAL CENTER,AL,name-ambiguous,not-assessed-not-named-in-file,pointer-readable-review-required,0,https://dekalbregional.com/cms-hpt.txt [200],1,,,,1,,,,,date-unverified,,,,2026-09-09T01:24:21.700Z
010148,EVERGREEN MEDICAL CENTER,AL,waf-blocked,mrf-blocked-to-automation,pointer-readable-review-required,0,https://evergreenmedical.org/cms-hpt.txt [200],1,,,,1,403,,,,date-unverified,,,,2026-09-09T01:24:21.700Z
010045,FAYETTE MEDICAL CENTER,AL,format-unusable,compliant-date-unverified,pointer-readable-review-required,0,https://www.dchsystem.com/cms-hpt.txt [200],3,,,,1,,,,,date-unverified,,,,2026-09-09T01:24:21.700Z
010019,HELEN KELLER HOSPITAL,AL,dns-dead,not-assessed-site-unreachable,access-or-discovery-unresolved,0,https://huntsvillehospital.org/cms-hpt.txt [getaddrinfo ENOTFOUND huntsvillehospital.org] | https://www.huntsvillehospital.org/cms-hpt.txt [getaddrinfo ENOTFOUND www.huntsvillehospital.org],0,https://huntsvillehospital.org/,,request timeout,0,,,,,date-unverified,,,,2026-09-09T01:24:21.703Z
