ccn,category,decision_question,roster_name,roster_address,header_name,header_location,header_state,declared_date,declared_version,pointer_url,file_url,blocker,options
010045,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),FAYETTE MEDICAL CENTER,"1653 TEMPLE AVENUE NORTH, FAYETTE AL 35555",Fayette Medical Center,Fayette Medical Center,AL,2026-03-26,3.0.0,https://dchsystem.com/cms-hpt.txt,https://dch.pt.panaceainc.com/MRFDownload/dch/fayette,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
010112,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),WHITFIELD REGIONAL HOSPITAL,"105 HIGHWAY 80 EAST, DEMOPOLIS AL 36732",TOMBIGBEE HEALTHCARE AUTHORITY,Whitfield Regional Hospital | Fitz-Gerald Clinic | Linden Clinic,AL,2026-04-01,3.0.0,,https://whitfield.pt.panaceainc.com/MRFDownload/whitfield/whitfield,corroborated,same-facility-rename | moved-facility | different-facility | need-publisher
010126,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),TROY REGIONAL MEDICAL CENTER,"1330 HIGHWAY 231 SOUTH, TROY AL 36081",Troy Regional Medical Center,Troy Regional Medical Center,AL,2025-12-31,3.0.0,https://troymedicalcenter.com/cms-hpt.txt,https://troymedicalcenter.com/wp-content/uploads/2026/03/271534178_Troy-Regional-Medical-Center_standardcharges.csv,corroborated,same-facility-rename | moved-facility | different-facility | need-publisher
010150,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,"29 L V STABLER DRIVE, GREENVILLE AL 36037",The Health Care Authority Of The City Of Greenville - LV Sta,Regional Medical Center of Central Alabama,AL,2025-08-22,2.0.0,https://www.rmcca.com/cms-hpt.txt,https://www.rmcca.com/Uploads/Public/Documents/822445000_the-health-care-authority-of-city-of-greenville---lv-stabler_standardcharges.csv,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
011302,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),RED BAY HOSPITAL,"211 HOSPITAL ROAD, RED BAY AL 35582",KAISER FOUNDATION HOSPITAL - SOUTH BAY,SOUTH BAY MEDICAL CENTER ,CA,2026-04-01,3.0.1,https://healthy.kaiserpermanente.org/cms-hpt.txt,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/health-plan-documents/coverage-information/machine-readable/941105628-south-bay-medical-center-standard-charges-scal-en.csv,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
011304,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),OCHSNER CHOCTAW GENERAL,"401 VANITY FAIR LANE, PO BOX 618, BUTLER AL 36904","Rush Hospital/Butler, Inc.",Ochsner Choctaw General Hospital,LA,2026-04-01,3.0.0,https://www.ochsner.org/cms-hpt.txt,https://ochsner-craft.s3.amazonaws.com/core/640655993_rush-hospitalbutler-inc._standardcharges.csv_2026-03-26-185915_vatb.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
014006,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),MOUNTAIN VIEW HOSPITAL,"3201 SCENIC HIGHWAY, GADSDEN AL 35902",MountainView Hospital,MountainView Hospital,AL,2024-12-04,2.0.0,https://www.mtnviewhospital.com/cms-hpt.txt,https://www.mtnviewhospital.com/transparency/631050236_mountain-view-hospital_standardcharges.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
014015,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),BEACON CHILDREN'S HOSPITAL,"150 HOSPITAL DRIVE, LUVERNE AL 36049","Professional Resources Management Psychiatric Services, LLC",Luverne AL,AL,2025-11-20,2.0.0,https://www.perimeterhealthcare.com/cms-hpt.txt,https://www.perimeterhealthcare.com/beacon/201643917_Professional-Resources-Management-Psychiatric-Services_standardcharges.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
021310,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),MANIILAQ HEALTH CENTER,"PO BOX 43, KOTZEBUE AK 99752",,,,,,https://maniilaq.mdsave.com/cms-hpt.txt,https://mdsave-system.s3.amazonaws.com/master/temp/TransparencyMandate/maniilaq_2025_chargemaster.csv,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
030061,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),BANNER BOSWELL MEDICAL CENTER,"13632 N 99TH AVE, SUN CITY AZ 85351",Banner Boswell Medical Center,Banner Boswell Medical Center,AZ,2026-03-02,3.0.0,https://www.bannerhealth.com/cms-hpt.txt,https://images.pricetransparency.healthcare/public-mrfs/banner/900389314_banner-boswell-medical-center_standardcharges.csv,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
030064,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,"1625 NORTH CAMPBELL AVENUE, TUCSON AZ 85719",Banner University Medical Center Tucson,Banner University Medical Center Tucson|Banner University Medical Center Tucson Campus Cancer Center|Banner University Medical Center Tucson University of Arizona Cancer Center,AZ,2026-03-02,3.0.0,https://www.bannerhealth.com/cms-hpt.txt,https://images.pricetransparency.healthcare/public-mrfs/banner/901074557_banner-university-medical-center-tucson_standardcharges.csv,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
030108,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),THE CORE INSTITUTE SPECIALTY HOSP,"6501 NORTH 19TH AVENUE, PHOENIX AZ 85015",The CORE Institute Specialty Hospital,The CORE Institute Specialty Hospital,AZ,2026-04-27,3.0.0,,https://thecoreinstitutehospital.com/wp-content/uploads/2026/09/2026-THE-CORE-INSTITUTE-SPECIALTY-HOSPITAL-MRF-INPATIENT.csv,corroborated,same-facility-rename | moved-facility | different-facility | need-publisher
