ccn,hospital_name,state,issue,subject,body,contact,send_status
010065,RUSSELL MEDICAL CENTER,AL,declared-update-date-over-365-days,Price transparency file: RUSSELL MEDICAL CENTER (CCN 010065),Hello,,
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://rm.121cms.com/wp-content/uploads/630385130_russell-medical-center__standardcharges-1-1.csv declares last_updated_on 2025-06-15, more than 365 days before our check on 2026-09-09T11:27:59.220Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer  (HTTP n/a); file https://rm.121cms.com/wp-content/uploads/630385130_russell-medical-center__standardcharges-1-1.csv (HTTP 206); checked 2026-09-09T11:27:59.220Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
010148,EVERGREEN MEDICAL CENTER,AL,declared-update-date-over-365-days,Price transparency file: EVERGREEN MEDICAL CENTER (CCN 010148),Hello,,
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://irp.cdn-website.com/1a9867e2/files/uploaded/208057151_evergreenmedicalcenter_standardcharges-8969ef83.csv declares last_updated_on 2025-08-07, more than 365 days before our check on 2026-09-09T16:08:59.999Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer https://www.evergreenmedical.org/cms-hpt.txt (HTTP 200); file https://irp.cdn-website.com/1a9867e2/files/uploaded/208057151_evergreenmedicalcenter_standardcharges-8969ef83.csv (HTTP 206); checked 2026-09-09T16:08:59.999Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
010168,JACK HUGHSTON MEMORIAL HOSPITAL,AL,pointer-declared-file-404,Price transparency file: JACK HUGHSTON MEMORIAL HOSPITAL (CCN 010168),Hello,,
We maintain an independent review of hospital price-transparency files. Your machine-readable pointer declares https://al.hughston.com/wp-content/uploads/sites/8/2024/02/331058243_jack-hughston-memorial-hospital_standardcharges.json, which returns HTTP 404 on repeated checks. Could you restore the file or update the pointer?,,,,,,
Recorded evidence: pointer https://al.hughston.com/cms-hpt.txt (HTTP 206); file https://al.hughston.com/wp-content/uploads/sites/8/2024/02/331058243_jack-hughston-memorial-hospital_standardcharges.json (HTTP 404); checked 2026-09-09T10:06:32.689Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
011308,CRENSHAW COMMUNITY HOSPITAL,AL,template-version-older-than-3,Price transparency file: CRENSHAW COMMUNITY HOSPITAL (CCN 011308),Hello,,
We maintain an independent review of hospital price-transparency files. The file at https://crenshawcommunityhospital.com/wp-content/uploads/2025/10/000817582_crenshaw-community-hospital_standardcharges-2.csv declares a current date (2025-10-13) but template version 2.0.0. Could you confirm whether it implements the CMS price-transparency data dictionary and whether an updated export is available?,,,,,,,
