ccn,hospital_name,state,previous_status,disposition,issue,next_step,pointer_url,pointer_status,pointer_checked_at,pointer_declared_url,mrf_url,mrf_status,mrf_final_url,identity,identity_basis,header_name,header_location,header_state,date,version,metadata,file_checked_at,pointer_sha256,file_sha256,adjudicated,note
010065,RUSSELL MEDICAL CENTER,AL,metadata-or-pointer-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",,,,,https://rm.121cms.com/wp-content/uploads/630385130_russell-medical-center__standardcharges-1-1.csv,206,https://rm.121cms.com/wp-content/uploads/630385130_russell-medical-center__standardcharges-1-1.csv,corroborated,file-name-and-address,Russell Medical Center,Russell Medical Center,AL,2025-06-15,2.0.0,date-over-365-days,2026-09-09T11:27:59.220Z,,bd70f4ef20ddc1c48860505ac8c2c987376954cedb2211a8ab289de8eb6762f2,,Same declared date 2025-06-15 observed again after the earlier check (2026-09-09T02:25:17.220Z).
010148,EVERGREEN MEDICAL CENTER,AL,pointer-or-domain-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",https://www.evergreenmedical.org/cms-hpt.txt,200,2026-09-09T10:37:04.835Z,,https://irp.cdn-website.com/1a9867e2/files/uploaded/208057151_evergreenmedicalcenter_standardcharges-8969ef83.csv,206,https://irp.cdn-website.com/1a9867e2/files/uploaded/208057151_evergreenmedicalcenter_standardcharges-8969ef83.csv,corroborated,file-name-and-address,Evergreen Medical Center,Evergreen Medical Center,AL,2025-08-07,2.0.0,date-over-365-days,2026-09-09T16:08:59.999Z,b135a2161192edf3fb79aa4ed0c8fdbab5137c202a78887a0cd081289bc8f5f8,0cac46895c4ace88ac3208e511c6261e2e88159794f3e8b7e888a0dd824a19fe,,Declared date over 365 days at check time.
010168,JACK HUGHSTON MEMORIAL HOSPITAL,AL,identity-or-format-review,publisher-issue,pointer-declared-file-404,Publisher inquiry to restore or replace the declared file; recheck after their update window,https://al.hughston.com/cms-hpt.txt,206,2026-09-09T10:37:14.918Z,,https://al.hughston.com/wp-content/uploads/sites/8/2024/02/331058243_jack-hughston-memorial-hospital_standardcharges.json,404,,,,,,,,,,2026-09-09T10:06:32.689Z,936c4bfd9a48cfb9ceb22db0232df2b72e2d64f3e2d78a498acff9dd5c3b8eba,,,The official pointer declares this file URL and it returns 404 on repeated checks; reproducible broken link.
011308,CRENSHAW COMMUNITY HOSPITAL,AL,metadata-or-pointer-review,publisher-issue,template-version-older-than-3,Publisher inquiry about the declared template version; recheck after their update window,https://crenshawcommunityhospital.com/wp-content/uploads/2025/11/cms-hpt.txt,206,2026-09-09T10:37:16.188Z,,https://crenshawcommunityhospital.com/wp-content/uploads/2025/10/000817582_crenshaw-community-hospital_standardcharges-2.csv,206,https://crenshawcommunityhospital.com/wp-content/uploads/2025/10/000817582_crenshaw-community-hospital_standardcharges-2.csv,corroborated,file-name-and-address,Crenshaw County Health Care Authority,Crenshaw Community Hospital,AL,2025-10-13,2.0.0,date-within-365-days-older-version,2026-09-09T10:07:02.341Z,dbf519d804660181484db4984da481bae0dd67daee289df1f2bede92ae5d2e3d,d47780b91e7d429f0af10d59abe0e649c37612991a3b21da2552440dcf3e9a06,,Declared version 2.0.0 with a current date; publisher has not adopted the current CMS dictionary.
021314,SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM,AK,metadata-or-pointer-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",,,,,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbSARHCSITKAAK&type=CDMWithoutLabel,200,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbSARHCSITKAAK&type=CDMWithoutLabel,corroborated,file-name-and-address,SouthEast Alaska Regional Health Consortium (SEARHC),SouthEast Alaska Regional Health Consortium (SEARHC),AK,2024-12-09,2.0.0,date-over-365-days,2026-09-09T10:06:57.001Z,,8e7b23d1eb3e811f4644bdda03f3d83788101ae514bcb27d589b6265601e303c,,Same declared date 2024-12-09 observed again after the earlier check (2026-09-09T02:25:42.245Z).
030062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,publisher-date-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",https://summithealthcare.net/cms-hpt.txt,200,2026-09-09T10:06:55.117Z,,https://hospitalpricedisclosure.com/download.aspx?pi=L*__*5isnkJWsT9OFJEKfZzfA*-*,206,https://cleverleypteusstatic.blob.core.windows.net/readable/860320447_summit-healthcare-regional-medical-center_standardcharges.json,corroborated,file-name-and-address,Summit Healthcare Regional Medical Center,Summit Healthcare Regional Medical Center,AZ,2025-01-01,2.2.0,date-over-365-days,2026-09-09T10:06:56.588Z,d0737c252cc0a30af3804fabd5de919182b28313d97fee11758ce518354e478c,f5b1c5ceedaf96829d1c248ab06a57cd6bed241a903c29759e17f5d807f584ea,,Same declared date 2025-01-01 observed again after the earlier check (2026-09-09T01:47:32.030Z).
030153,EAST VALLEY ER & HOSPITAL,AZ,publisher-template-review,publisher-issue,template-version-older-than-3,Publisher inquiry about the declared template version; recheck after their update window,https://eastvalleyhospital.com/cms-hpt.txt,200,2026-09-09T10:06:55.732Z,,https://eastvalleyhospital.com/wp-content/uploads/2025/10/862195601-1881352037_east-valley-hospital-llc_standardcharges-3in.csv,200,https://eastvalleyhospital.com/wp-content/uploads/2025/10/862195601-1881352037_east-valley-hospital-llc_standardcharges-3in.csv,corroborated,file-name-and-address,East Valley ER & Hospital,East Valley ER & Hospital,AZ,2025-10-10,2.1.0,date-within-365-days-older-version,2026-09-09T10:06:56.682Z,e746d2f89bf9d6598765309d71e0f364049f2f11a7be9fdd28e4f196c15e5b06,a085dc21f1573aaadb0fa81249b7b6b6b5d0561be43d4d126f30ee6d209d5c61,,Declared version 2.1.0 with a current date; publisher has not adopted the current CMS dictionary.
034013,COLLEGE MEDICAL CENTER PHOENIX,AZ,publisher-template-review,publisher-issue,template-version-older-than-3,Publisher inquiry about the declared template version; recheck after their update window,https://cmcphoenix.com/cms-hpt.txt,200,2026-09-09T10:06:56.981Z,,https://cmcphoenix.com/331313844_college-medical-center-phoenix_standardcharges-3/,200,https://cmcphoenix.com/wp-content/uploads/2026/05/331313844_college-medical-center-phoenix_standardcharges.csv,corroborated,file-name-and-address,College Medical Center - Phoenix,College Medical Center - Phoenix,AZ,2026-03-11,1,date-within-365-days-older-version,2026-09-09T10:07:02.760Z,272b2e24d4cc770242ad25d12b0b735445512cc5e38bd2e96910db6fe2b7e23e,a7e897b12389d7a3cc0381ed42fa1584b88a35961ddb382c0c2eb2386dd5d616,,Declared version 1 with a current date; publisher has not adopted the current CMS dictionary.
034025,THE HEALING PLACE,AZ,publisher-template-review,publisher-issue,template-version-older-than-3,Publisher inquiry about the declared template version; recheck after their update window,https://static1.squarespace.com/static/641cdb99a1fef46a48846e0c/t/69177051ff07795f6421eb3a/1763143790342/cms-hpt.txt,206,2026-09-09T10:06:57.227Z,,https://www.polarahealth.com/s/TheHealingPlace_MainCampus_StandardCharges.csv,206,https://static1.squarespace.com/static/641cdb99a1fef46a48846e0c/t/690bfaba30814f516bc80c9f/1762392762091/TheHealingPlace_MainCampus_StandardCharges.csv,corroborated,file-name-and-address,The Healing Place,The Healing Place,AZ,2025-11-04,2.0.0,date-within-365-days-older-version,2026-09-09T10:06:57.339Z,8a24d3f97331ac40f798307ba3f109cd4f5e95aadd628d1b36b94d92e671eb43,7b1842b07c50054ad47d4fe364adfe79a7c7b18e07ee3d7b056d443ac20b43ec,,Declared version 2.0.0 with a current date; publisher has not adopted the current CMS dictionary.
034034,DESTINY SPRINGS HEALTHCARE,AZ,file-access-review,publisher-issue,pointer-declared-file-404,Publisher inquiry to restore or replace the declared file; recheck after their update window,https://5798232a-0473-45d2-b484-accd085e50e0.usrfiles.com/ugd/579823_c1d62be5375442a28d99445b448b1c3e.txt,206,2026-09-09T10:06:57.232Z,,https://www.destinyspringshealthcare.com/files/81-4160201_Destiny-Springs-Healthcare_standardcharges.csv,404,https://1b6f986b-8b16-4924-9a50-0cb7e3aaae2f.filesusr.com/ugd/579823_eb7db2b89803407a90b9c18a5c9c739f.csv?dn=81-4160201_Destiny-Springs-Healthcare_standardcharges.csv,corroborated,file-name-and-address,Destiny Springs Healthcare,Destiny Springs Healthcare – Surprise,AZ,2025-12-11,3.0 CSV Tall,date-within-365-days-version-3,2026-09-09T10:43:52.090Z,ccccc92d5d4a9309acca28ceaf924e4bd316ff2fa2980642b9048b4150c25310,99dca5fb1c551215ce123f7e1308846544217097028da0ffc473430a5b24ea18,,The official pointer declares this file URL and it returns 404 on repeated checks; reproducible broken link.
