ccn,hospital_name,url,location_name,pointerUrl,pointerRequestedUrl,pointerCheckedAt,pointerSha256,sourcePageUrl,score,member,identity,identity_basis,header_name,header_location,header_address,header_state,http_status,file_kind,date,version,checked_at,metadata,transport,parser_version,error,fileSha256
034034,DESTINY SPRINGS HEALTHCARE,https://www.destinyspringshealthcare.com/files/81-4160201_Destiny-Springs-Healthcare_standardcharges.csv,Destiny Springs Healthcare,https://5798232a-0473-45d2-b484-accd085e50e0.usrfiles.com/ugd/579823_c1d62be5375442a28d99445b448b1c3e.txt,https://destinyspringshealthcare.com/cms-hpt.txt,2026-09-09T02:09:20.303Z,ccccc92d5d4a9309acca28ceaf924e4bd316ff2fa2980642b9048b4150c25310,https://www.destinyspringshealthcare.com/price-transparency,1,,mrf-header-unreachable,,,,,,404,,,,2026-09-09T02:23:25.802Z,unverified,native,recovery-v1,metadata-incomplete-or-request-failed,
034034,DESTINY SPRINGS HEALTHCARE,https://www.destinyspringshealthcare.com/_files/ugd/579823_eb7db2b89803407a90b9c18a5c9c739f.csv?dn=81-4160201_Destiny-Springs-Healthcare_standardcharges.csv,MRF,,,,,https://www.destinyspringshealthcare.com/price-transparency,0,,corroborated,file-name-and-address,Destiny Springs Healthcare,Destiny Springs Healthcare – Surprise,"17300 N Dysart Rd, Surprise AZ 85378",AZ,206,csv,2025-12-11,3.0 CSV Tall,2026-09-09T02:23:26.377Z,date-within-365-days-version-3,native,recovery-v1,,99dca5fb1c551215ce123f7e1308846544217097028da0ffc473430a5b24ea18
041309,LAWRENCE MEMORIAL HOSPITAL,https://www.lawrencegeneral.org/LawrenceGeneral/media/PDF-Docs/042103586_LawerenceGeneralHospital_standardcharges.csv,Lawrence General Hospital,https://www.mhlawrencehospital.org/cms-hpt.txt,https://lawrencegeneral.org/cms-hpt.txt,2026-09-09T02:09:20.287Z,f602f1a77bd0c6e2ae66c7f4febf63ca178b3fac46c65e712dd590514222794e,https://www.lawrencegeneral.org/your-visit/billing-and-financial-assistance/price-transparency,0.8125,,mrf-header-unreachable,,,,,,404,,,,2026-09-09T02:23:26.121Z,unverified,native,recovery-v1,metadata-incomplete-or-request-failed,
041309,LAWRENCE MEMORIAL HOSPITAL,https://lawrencememorial.info/storage/cms/library/documents/731547175_lawrence-memorial-health-foundation-inc_standardcharges.csv,Download Standard Charges (CSV),,,,,https://lawrencememorial.info/price-transparency,0,,corroborated,file-name-and-address,"LAWRENCE MEMORIAL HEALTH FOUNDATION, INC",LAWRENCE MEMORIAL HOSPITAL,"1309 W MAIN, WALNUT RIDGE, AR 72476",AR,206,csv,2025-12-22,3.0.0,2026-09-09T02:24:50.576Z,date-within-365-days-version-3,native,recovery-v1,,663b2222cbef3763a849709c4d85f728855933a62e8bf205dc7642f9cef07dc1
050167,SAN JOAQUIN GENERAL HOSPITAL,http://rca.elevatepfs.com/ptapp/api/cdm/export/oneclick?recno=9150f7c69ef6e33ccd3eab7900459e38729dcdbe49a0561ed9dd8d5b35f7449a,San Joaquin General Hospital,https://www.sanjoaquingeneral.org/cms-hpt.txt,https://sanjoaquingeneral.org/cms-hpt.txt,2026-09-09T02:09:20.410Z,4398837b23bef779d59beb0930902eef0b9c2416ef9a60dab456e5975e1aea9b,https://www.sanjoaquingeneral.org/,1,,mrf-header-unreachable,,,,,,0,,,,2026-09-09T02:23:42.666Z,unverified,curl,recovery-v1,"curl: (52) Empty reply from server
",
050261,SIERRA VIEW MEDICAL CENTER,https://sierraview.pt.panaceainc.com/MRFDownload/sierraview/medicalcenter,Sierra View Medical Center,https://www.sierra-view.com/cms-hpt.txt,https://sierra-view.com/cms-hpt.txt,2026-09-09T02:09:21.365Z,0e82f14f305609f7d08e1d1c637d627a820795f68b6d431e01170961f3b89295,https://www.sierra-view.com/patients-visitors/price-transparency-and-charge-master/,1,,corroborated,file-name-and-address,SIERRA VIEW LOCAL HEALTH CARE DISTRICT,Sierra View Medical Center,"465 West Putnam Avenue, Porterville, CA 93257 | 465 West Putnam Avenue, Porterville, CA 93257 | 465 West Putnam Avenue, Porterville, CA 93257 | 465 West Putnam Avenue, Porterville, CA 93257 | 465 West Putnam Avenue, Porterville, CA 93257 | 465 West Putnam Avenue, Porterville, CA 93257 | 465 West Putnam Avenue, Porterville, CA 93257",CA,200,csv,2026-04-01,3.0.0,2026-09-09T02:23:26.390Z,date-within-365-days-version-3,native,recovery-v1,,9b71c90ad3f3f18bd9f031a918f1dbd40ef9f3d25c6ab1b486efec99b5fa2645
050776,COLLEGE MEDICAL CENTER,http://rca.elevatepfs.com/ptapp/api/cdm/export/oneclick?recno=c03ea0e53387f2e22f8262e5ee5ac871e45c53fb6ce9ca014b7159b7175da354,College Medical Center,https://collegemedicalcenter.com/cms-hpt.txt,https://collegemedicalcenter.com/cms-hpt.txt,2026-09-09T02:09:20.122Z,1646bbb7ea825bcd438e072d799b87a34ead5819accf2e7c682800859119e57a,https://collegemedicalcenter.com/price-transparency/,1,,mrf-header-unreachable,,,,,,0,,,,2026-09-09T02:24:10.287Z,unverified,curl,recovery-v1,"curl: (52) Empty reply from server
",
053302,CHILDREN'S HOSP OF LOS ANGELES,https://www.chla.org/hpt/1,Childrens Hospital of Los Angeles,https://www.chla.org/cms-hpt.txt,https://chla.org/cms-hpt.txt,2026-09-09T02:09:20.851Z,e6ca610db4a29e1b8d9602af270e3981300f98fe0dedb3ac45eaac881f67cba2,https://www.chla.org/help-paying-your-bill/cost-estimator,1,,mrf-header-unreachable,,,,,,403,,,,2026-09-09T02:23:25.784Z,unverified,native,recovery-v1,metadata-incomplete-or-request-failed,
054078,AURORA LAS ENCINAS,https://www.lasencinashospital.com/sites/default/files/320039155_Aurora%20Las%20Encinas%20LLC_standardcharges.csv,"Aurora Las Encinas, LLC",https://www.vistadelmarhospital.com/cms-hpt.txt,https://www.vistadelmarhospital.com/cms-hpt.txt,2026-09-09T02:09:20.165Z,2f5c55cbcecddd9cfa0623bb6c7f97c7ffce7e14584aa3c2f0b0e2d7c4c6caf3,https://www.lasencinashospital.com/price-transparency/,1,,mrf-header-unreachable,,,,,,404,,,,2026-09-09T02:23:26.056Z,unverified,native,recovery-v1,metadata-incomplete-or-request-failed,
054078,AURORA LAS ENCINAS,https://www.vistadelmarhospital.com/330986642_Aurora-Vista-Del-Mar_standardcharges.csv,Vista Del Mar Hospital,https://www.vistadelmarhospital.com/cms-hpt.txt,https://www.vistadelmarhospital.com/cms-hpt.txt,2026-09-09T02:09:20.165Z,2f5c55cbcecddd9cfa0623bb6c7f97c7ffce7e14584aa3c2f0b0e2d7c4c6caf3,https://www.vistadelmarhospital.com/standard-services/,0,,header-matches-other-roster-hospital,,"Aurora Vista Del Mar, LLC",Aurora Vista Del Mar,"801 Seneca Street, Ventura, CA 93001-1411",CA,206,csv,2026-04-16,3.0.0,2026-09-09T02:23:25.852Z,date-within-365-days-version-3,native,recovery-v1,,19694d7b21c49cdcc90dde98fa5b24e87adad48e640c1d7bafe59360e762f6f1
