ccn,hospital_name,state,old_finding,status,website,pointer,identity,file_access,metadata,pointer_url,mrf_url,date,version,source_page,checked_at,previous_status,methods,blocker,blocker_details,browser_observation,next_action
034034,DESTINY SPRINGS HEALTHCARE,AZ,mrf-url-unreachable,file-access-review,response received,entries retrieved,corroborated,response received,date-within-365-days-version-3,https://5798232a-0473-45d2-b484-accd085e50e0.usrfiles.com/ugd/579823_c1d62be5375442a28d99445b448b1c3e.txt,https://www.destinyspringshealthcare.com/_files/ugd/579823_eb7db2b89803407a90b9c18a5c9c739f.csv?dn=81-4160201_Destiny-Springs-Healthcare_standardcharges.csv,2025-12-11,3.0 CSV Tall,,2026-09-09T02:23:26.377Z,file-access-review,native|brave,official-pointer-or-metadata-unresolved,metadata-incomplete-or-request-failed | HTTP 404,"page-read: Official homepage identifies 17300 N Dysart Rd, Surprise AZ 85378; pricing page exposes MRF link.",Resolve official pointer linkage or conflicting metadata
041309,LAWRENCE MEMORIAL HOSPITAL,AR,mrf-url-unreachable,file-access-review,response received,entries retrieved,corroborated,response received,date-within-365-days-version-3,https://www.mhlawrencehospital.org/cms-hpt.txt,https://lawrencememorial.info/storage/cms/library/documents/731547175_lawrence-memorial-health-foundation-inc_standardcharges.csv,2025-12-22,3.0.0,,2026-09-09T02:24:50.576Z,file-access-review,native|brave|web-search-verification,official-pointer-or-metadata-unresolved,metadata-incomplete-or-request-failed | HTTP 404,page-read: ,Resolve official pointer linkage or conflicting metadata
050167,SAN JOAQUIN GENERAL HOSPITAL,CA,compliant-date-unverified,file-access-review,response received,entries retrieved,unresolved,unresolved,unverified,https://www.sanjoaquingeneral.org/cms-hpt.txt,,,,,2026-09-09T02:09:20.410Z,file-access-review,native|curl|brave,retrieval-or-domain-unresolved,"curl: (52) Empty reply from server
 | metadata-incomplete-or-request-failed | ECONNRESET",navigation-failed: Browser tool returned net::ERR_BLOCKED_BY_CLIENT. This is not evidence of a hospital denial.,Continue bounded browser or official-domain discovery
050776,COLLEGE MEDICAL CENTER,CA,compliant-date-unverified,file-access-review,response received,entries retrieved,unresolved,unresolved,unverified,https://collegemedicalcenter.com/cms-hpt.txt,,,,,2026-09-09T02:09:20.122Z,file-access-review,native|curl,retrieval-or-domain-unresolved,"curl: (52) Empty reply from server
 | metadata-incomplete-or-request-failed | request deadline exceeded",,Continue bounded browser or official-domain discovery
053302,CHILDREN'S HOSP OF LOS ANGELES,CA,mrf-blocked-to-automation,file-access-review,response received,entries retrieved,unresolved,unresolved,unverified,https://www.chla.org/cms-hpt.txt,,,,,2026-09-09T02:09:20.851Z,file-access-review,native|glm-5.3-flash|web-search-verification,retrieval-or-domain-unresolved,metadata-incomplete-or-request-failed | HTTP 403,,Continue bounded browser or official-domain discovery
054078,AURORA LAS ENCINAS,CA,mrf-url-unreachable,file-access-review,response received,entries retrieved,unresolved,response received,unverified,https://www.vistadelmarhospital.com/cms-hpt.txt,,,,,2026-09-09T02:09:20.165Z,file-access-review,native,facility-identity-or-metadata-unresolved,metadata-incomplete-or-request-failed | HTTP 404 | header-matches-other-roster-hospital,,Compare facility identity and inspect unparsed metadata
060020,"PARKVIEW MEDICAL CENTER, INC",CO,mrf-url-unreachable,file-access-review,response received,entries retrieved,unresolved,response received,unverified,https://www.uchealth.org/cms-hpt.txt,,,,,2026-09-09T02:09:20.422Z,file-access-review,native|curl|glm-5.3-flash,facility-identity-or-metadata-unresolved,"metadata-incomplete-or-request-failed | HTTP 404 | header-matches-other-roster-hospital | mrf-header-name-without-location | mrf-header-does-not-match-unresolved-roster | curl: (28) Resolving timed out after 8006 milliseconds
 | request timeout",,Compare facility identity and inspect unparsed metadata
070010,BRIDGEPORT HOSPITAL,CT,mrf-url-unreachable,file-access-review,response received,entries retrieved,unresolved,unresolved,unverified,https://www.bridgeporthospital.org/BHAssets/cms-hpt.txt,,,,,2026-09-09T02:09:20.734Z,file-access-review,native|glm-5.3-flash,retrieval-or-domain-unresolved,metadata-incomplete-or-request-failed | HTTP 404,,Continue bounded browser or official-domain discovery
070022,YALE-NEW HAVEN HOSPITAL,CT,mrf-url-unreachable,file-access-review,response received,entries retrieved,unresolved,unresolved,unverified,https://www.ynhh.org/YNHHAssets/cms-hpt.txt,,,,,2026-09-09T02:09:20.609Z,file-access-review,native,retrieval-or-domain-unresolved,metadata-incomplete-or-request-failed | HTTP 404,,Continue bounded browser or official-domain discovery
070036,JOHN DEMPSEY HOSPITAL OF THE UNIVERSITY OF CONNECT,CT,compliant-date-unverified,file-access-review,response received,entries retrieved,unresolved,response received,unverified,https://health.uconn.edu/cms-hpt.txt,,,,,2026-09-09T02:09:20.283Z,file-access-review,native,facility-identity-or-metadata-unresolved,mrf-header-does-not-match-unresolved-roster,,Compare facility identity and inspect unparsed metadata
100012,LEE MEMORIAL HOSPITAL,FL,mrf-blocked-to-automation,file-access-review,response received,entries retrieved,unresolved,unresolved,unverified,https://www.leehealth.org/cms-hpt.txt,,,,,2026-09-09T02:09:20.671Z,file-access-review,native,retrieval-or-domain-unresolved,metadata-incomplete-or-request-failed | HTTP 403,,Continue bounded browser or official-domain discovery
100067,ST ANTHONYS HOSPITAL,FL,mrf-url-unreachable,file-access-review,response received,entries retrieved,unresolved,response received,unverified,https://baycare.org/cms-hpt.txt,,,,,2026-09-09T02:09:21.868Z,file-access-review,native,facility-identity-or-metadata-unresolved,metadata-incomplete-or-request-failed | HTTP 404 | header-matches-other-roster-hospital | mrf-header-does-not-match-unresolved-roster | mrf-header-name-without-location,,Compare facility identity and inspect unparsed metadata
100071,TAMPA GENERAL HOSPITAL BROOKSVILLE,FL,mrf-url-unreachable,file-access-review,response received,entries retrieved,unresolved,response received,unverified,https://www.tgh.org/cms-hpt.txt,,,,,2026-09-09T02:09:22.140Z,file-access-review,native,facility-identity-or-metadata-unresolved,metadata-incomplete-or-request-failed | HTTP 404 | header-matches-other-roster-hospital,,Compare facility identity and inspect unparsed metadata
100105,CLEVELAND CLINIC INDIAN RIVER HOSPITAL,FL,compliant-date-unverified,file-access-review,response received,entries retrieved,unresolved,response received,unverified,https://my.clevelandclinic.org/cms-hpt.txt,,,,,2026-09-09T02:09:22.435Z,file-access-review,native|curl,facility-identity-or-metadata-unresolved,"header-matches-other-roster-hospital | mrf-header-does-not-match-unresolved-roster | metadata-incomplete-or-request-failed | mrf-header-has-no-license-state | mrf-header-name-without-location | curl: (28) Resolving timed out after 8003 milliseconds
 | request timeout | curl: (28) Operation timed out after 11297 milliseconds with 0 bytes received
",,Compare facility identity and inspect unparsed metadata
100220,GULF COAST MEDICAL CENTER LEE HEALTH,FL,mrf-blocked-to-automation,file-access-review,response received,entries retrieved,unresolved,unresolved,unverified,https://www.leehealth.org/cms-hpt.txt,,,,,2026-09-09T02:09:20.671Z,file-access-review,native,retrieval-or-domain-unresolved,metadata-incomplete-or-request-failed | HTTP 403,,Continue bounded browser or official-domain discovery
