ccn,hospital_name,state,old_finding,status,website,pointer,identity,file_access,metadata,pointer_url,mrf_url,date,version,source_page,checked_at
021310,MANIILAQ HEALTH CENTER,AK,compliant-date-unverified,identity-or-format-review,host returned pointer,entries retrieved,unresolved,response received,unverified,https://maniilaq.mdsave.com/cms-hpt.txt,,,,,2026-09-09T01:41:55.572Z
021311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,AK,pointer-blocked-to-automation,pointer-or-domain-review,HTTP request timeout,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:05.446Z
021312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,AK,not-assessed-site-unreachable,pointer-or-domain-review,HTTP 200,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:41:56.173Z
021305,SEARHC WRANGELL MEDICAL CENTER & LTC,AK,no-cms-hpt-txt-published,pointer-or-domain-review,HTTP 200,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:41:55.598Z
021314,SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM,AK,mrf-stale-over-365-days,metadata-or-pointer-review,HTTP 200,not retrieved,unresolved,response received,unverified,,,,,,2026-09-09T01:41:56.008Z
010036,ANDALUSIA HEALTH,AL,not-assessed-site-unreachable,pointer-or-domain-review,HTTP request timeout,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:41:55.440Z
010079,ATHENS LIMESTONE HOSPITAL,AL,not-assessed-site-unreachable,pointer-or-domain-review,HTTP request timeout,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:05.315Z
010169,ATMORE COMMUNITY HOSPITAL,AL,mrf-stale-over-365-days,metadata-or-pointer-review,HTTP request timeout,not retrieved,unresolved,response received,unverified,,,,,,2026-09-09T01:42:05.565Z
010083,BALDWIN HEALTH,AL,no-cms-hpt-txt-published,pointer-or-domain-review,HTTP 200,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:41:55.650Z
010023,BAPTIST MEDICAL CENTER SOUTH,AL,compliant-date-unverified,identity-quarantined,HTTP request timeout,not retrieved,unresolved,unresolved,unverified,,,,,https://www.baptistfirst.org/patients-visitors/before-your-visit/get-a-price-estimate,2026-09-09T01:42:05.648Z
014015,BEACON CHILDREN'S HOSPITAL,AL,old-template-version,identity-or-format-review,HTTP request timeout,not retrieved,unresolved,response received,unverified,,,,,,2026-09-09T01:42:06.043Z
010073,CLAY COUNTY HOSPITAL,AL,compliant-date-unverified,identity-or-format-review,HTTP request timeout,not retrieved,unresolved,response received,unverified,,,,,,2026-09-09T01:42:05.881Z
010034,COMMUNITY HOSPITAL INC,AL,no-cms-hpt-txt-published,pointer-or-domain-review,HTTP 200,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:41:56.245Z
010164,COOSA VALLEY MEDICAL CENTER,AL,compliant-date-unverified,identity-or-format-review,HTTP request timeout,not retrieved,unresolved,response received,unverified,,,,,,2026-09-09T01:42:05.696Z
011308,CRENSHAW COMMUNITY HOSPITAL,AL,old-template-version,metadata-or-pointer-review,HTTP request timeout,not retrieved,unresolved,response received,unverified,,,,,,2026-09-09T01:42:06.693Z
