ccn,hospital_name,url,pointerUrl,sourcePageUrl,location_name,pointerCheckedAt,pointerSha256,score,http_status,file_kind,header_name,header_location,header_address,header_state,identity,identity_basis,date,version,metadata,checked_at,error
021310,MANIILAQ HEALTH CENTER,https://mdsave-system.s3.amazonaws.com/master/temp/TransparencyMandate/maniilaq_2025_chargemaster.csv,https://maniilaq.mdsave.com/cms-hpt.txt,https://maniilaq.mdsave.com,Maniilaq Health Center,2026-09-09T01:41:55.572Z,1dbdaa071059148dec0c8b8c41e72c5dd23627c74fdad6c69e3f74f317a74d6b,1,206,csv,,,,,mrf-header-has-no-license-state,,,,date-unverified,2026-09-09T01:47:27.122Z,
021314,SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbSARHCSITKAAK&type=CDMWithoutLabel,,,,,,0,200,csv,SouthEast Alaska Regional Health Consortium (SEARHC),SouthEast Alaska Regional Health Consortium (SEARHC),222 Tongass Dr Sitka AK 99835,AK,corroborated,file-name-and-address,2024-12-09,2.0.0,date-over-365-days,2026-09-09T01:47:27.149Z,
010169,ATMORE COMMUNITY HOSPITAL,http://www.atmorehealth.org/docs/1336_BILLINGITEMLIST_CsvTallv2.0.0_20250401195853.csv,,,,,,0,206,csv,Escambia County Healthcare Authority,Atmore Community Hospital,"401 Medical Park Dr, Atmore, AL, 36502",AL,corroborated,file-name-and-address,2025-04-01,2.0.0,date-over-365-days,2026-09-09T01:47:27.163Z,
014015,BEACON CHILDREN'S HOSPITAL,https://www.perimeterhealthcare.com/beacon/201643917_Professional-Resources-Management-Psychiatric-Services_standardcharges.csv,,,,,,0,206,csv,"Professional Resources Management Psychiatric Services, LLC",Luverne AL,"150 Hospital Drive, Luverne AL 36049",AL,mrf-header-does-not-match-unresolved-roster,,2025-11-20,2.0.0,date-within-365-days-older-version,2026-09-09T01:47:27.164Z,
010073,CLAY COUNTY HOSPITAL,https://www.claycountyhospital.com/getpage.php?name=Hospital_Pricing,,,,,,0,200,html,,,,,mrf-header-has-no-license-state,,,,date-unverified,2026-09-09T01:47:27.183Z,
010164,COOSA VALLEY MEDICAL CENTER,https://secure.claraprice.net/price-transparency/IXIY-1769634466888/machine-readable/201282261_coosa-valley-medical-center_standardcharges.json,,,,,,0,200,json,Sylacauga Health Care Authority DBA Coosa Valley Medical Center dba Coosa Valley Medical Center,,,,mrf-header-has-no-license-state,,,,date-unverified,2026-09-09T01:47:27.189Z,
011308,CRENSHAW COMMUNITY HOSPITAL,https://crenshawcommunityhospital.com/wp-content/uploads/2025/10/000817582_crenshaw-community-hospital_standardcharges-2.csv,,,,,,0,206,csv,Crenshaw County Health Care Authority,Crenshaw Community Hospital,"101 Hospital Circle, Luverne, AL, 36049",AL,corroborated,file-name-and-address,2025-10-13,2.0.0,date-within-365-days-older-version,2026-09-09T01:47:27.194Z,
010099,D W MCMILLAN MEMORIAL HOSPITAL,http://www.dwmmh.org/docs/1336_BILLINGITEMLIST_CsvTallv2.0.0_20250305220544.csv,,,,,,0,206,csv,Escambia County Healthcare Authority,D.W. McMillan Memorial Hospital,"1301 Belleville Ave, Brewton, AL, 36426",AL,corroborated,file-name-and-address,2025-03-05,2.0.0,date-over-365-days,2026-09-09T01:47:27.240Z,
010092,DCH REGIONAL MEDICAL CENTER,https://dch.pt.panaceainc.com/MRFDownload/dch/rmc,,,,,,0,,,,,,,mrf-header-unreachable,,,,date-unverified,2026-09-09T01:47:27.253Z,socket hang up
010148,EVERGREEN MEDICAL CENTER,https://irp.cdn-website.com/1a9867e2/files/uploaded/208057151_evergreenmedicalcenter_standardcharges.csv,,,,,,0,403,,,,,,mrf-header-unreachable,,,,date-unverified,2026-09-09T01:47:27.275Z,
010045,FAYETTE MEDICAL CENTER,https://dch.pt.panaceainc.com/MRFDownload/dch/fayette,,,,,,0,,,,,,,mrf-header-unreachable,,,,date-unverified,2026-09-09T01:47:27.280Z,socket hang up
010168,JACK HUGHSTON MEMORIAL HOSPITAL,https://al.hughston.com/wp-content/uploads/sites/8/2024/11/331058243_jack-hughston-memorial-hospital_standardcharges.json,,https://al.hughston.com/jack-hughston-memorial-hospital/price-transparency/,Price Transparency - Machine Readable,,,0,206,json,Jack Hughston Memorial Hospital,Jack Hughston Memorial Hospital,,,mrf-header-has-no-license-state,,2024-01-01,1.1.0,date-over-365-days,2026-09-09T01:47:27.347Z,
010168,JACK HUGHSTON MEMORIAL HOSPITAL,https://al.hughston.com/wp-content/uploads/sites/8/2024/02/331058243_jack-hughston-memorial-hospital_standardcharges.json,,,,,,0,404,,,,,,mrf-header-unreachable,,,,date-unverified,2026-09-09T01:47:27.368Z,
010007,MIZELL MEMORIAL HOSPITAL,https://www.mizellmh.com/docs/630307951_mizell-memorial-hospital%2C-inc._standardcharges.csv,,https://www.mizellmh.com/getpage.php?name=Hospital_Pricing&sub=Patient%20%26%20Visitors,click here.,,,0,206,csv,"Mizell Memorial Hospital, Inc.",Mizell Memorial Hospital,"702 N Main St, PO Box 1010, Opp, AL, 36467",AL,corroborated,file-name-and-address,2025-12-22,2.0.0,date-within-365-days-older-version,2026-09-09T01:47:27.389Z,
010007,MIZELL MEMORIAL HOSPITAL,https://www.mizellmh.com/docs/630307951_mizell-memorial-hospital-inc-elba-healthcare_standardcharges.csv,,https://www.mizellmh.com/getpage.php?name=Hospital_Pricing&sub=Patient%20%26%20Visitors,Mizell Memorial Hospital Elba Healthcare Charges click here,,,0,206,csv,"Mizell Memorial Hospital, Inc.",Elba Healthcare,"918 Drayton Ave, Elba, AL, 36323",AL,mrf-header-name-without-location,,2026-03-28,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:27.406Z,
