ccn,hospital_name,state,old_finding,status,website,pointer,identity,file_access,metadata,pointer_url,mrf_url,date,version,source_page,checked_at,recorded_pointer_url,recorded_mrf_url,queue,next_action,evidence_file,evidence_key
021310,MANIILAQ HEALTH CENTER,AK,compliant-date-unverified,identity-or-format-review,host returned pointer,entries retrieved,unresolved,response received,unverified,https://maniilaq.mdsave.com/cms-hpt.txt,,,,,2026-09-09T01:41:55.572Z,,,Identity / parser review,"Compare the file header with roster name, address and license state. Inspect archive contents or metadata beyond the capped header if extraction is incomplete.",file-evidence.csv,021310
021311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,AK,pointer-blocked-to-automation,pointer-or-domain-review,HTTP request timeout,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:05.446Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,021311
021312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,AK,not-assessed-site-unreachable,pointer-or-domain-review,HTTP 200,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:41:56.173Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,021312
021305,SEARHC WRANGELL MEDICAL CENTER & LTC,AK,no-cms-hpt-txt-published,pointer-or-domain-review,HTTP 200,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:41:55.598Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,021305
021314,SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM,AK,mrf-stale-over-365-days,metadata-or-pointer-review,HTTP 200,not retrieved,unresolved,response received,unverified,,,,,,2026-09-09T01:41:56.008Z,,,Pointer / metadata review,Inspect the corroborated file and official pointer separately. Resolve missing or conflicting metadata and multiple file candidates before promoting.,file-evidence.csv,021314
010036,ANDALUSIA HEALTH,AL,not-assessed-site-unreachable,pointer-or-domain-review,HTTP request timeout,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:41:55.440Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,010036
010079,ATHENS LIMESTONE HOSPITAL,AL,not-assessed-site-unreachable,pointer-or-domain-review,HTTP request timeout,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:05.315Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,010079
010169,ATMORE COMMUNITY HOSPITAL,AL,mrf-stale-over-365-days,metadata-or-pointer-review,HTTP request timeout,not retrieved,unresolved,response received,unverified,,,,,,2026-09-09T01:42:05.565Z,,,Pointer / metadata review,Inspect the corroborated file and official pointer separately. Resolve missing or conflicting metadata and multiple file candidates before promoting.,file-evidence.csv,010169
010083,BALDWIN HEALTH,AL,no-cms-hpt-txt-published,pointer-or-domain-review,HTTP 200,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:41:55.650Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,010083
010023,BAPTIST MEDICAL CENTER SOUTH,AL,compliant-date-unverified,identity-quarantined,HTTP request timeout,not retrieved,unresolved,unresolved,unverified,,,,,https://www.baptistfirst.org/patients-visitors/before-your-visit/get-a-price-estimate,2026-09-09T01:42:05.648Z,,,Facility identity adjudication,The previous assignment is excluded. Resolve roster name/address or find an official pointer and file that corroborate this facility.,file-evidence.csv,010023
014015,BEACON CHILDREN'S HOSPITAL,AL,old-template-version,identity-or-format-review,HTTP request timeout,not retrieved,unresolved,response received,unverified,,,,,,2026-09-09T01:42:06.043Z,,,Identity / parser review,"Compare the file header with roster name, address and license state. Inspect archive contents or metadata beyond the capped header if extraction is incomplete.",file-evidence.csv,014015
010073,CLAY COUNTY HOSPITAL,AL,compliant-date-unverified,identity-or-format-review,HTTP request timeout,not retrieved,unresolved,response received,unverified,,,,,,2026-09-09T01:42:05.881Z,,,Identity / parser review,"Compare the file header with roster name, address and license state. Inspect archive contents or metadata beyond the capped header if extraction is incomplete.",file-evidence.csv,010073
010034,COMMUNITY HOSPITAL INC,AL,no-cms-hpt-txt-published,pointer-or-domain-review,HTTP 200,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:41:56.245Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,010034
010164,COOSA VALLEY MEDICAL CENTER,AL,compliant-date-unverified,identity-or-format-review,HTTP request timeout,not retrieved,unresolved,response received,unverified,,,,,,2026-09-09T01:42:05.696Z,,,Identity / parser review,"Compare the file header with roster name, address and license state. Inspect archive contents or metadata beyond the capped header if extraction is incomplete.",file-evidence.csv,010164
011308,CRENSHAW COMMUNITY HOSPITAL,AL,old-template-version,metadata-or-pointer-review,HTTP request timeout,not retrieved,unresolved,response received,unverified,,,,,,2026-09-09T01:42:06.693Z,,,Pointer / metadata review,Inspect the corroborated file and official pointer separately. Resolve missing or conflicting metadata and multiple file candidates before promoting.,file-evidence.csv,011308
010131,CRESTWOOD MEDICAL CENTER,AL,not-assessed-site-unreachable,pointer-or-domain-review,HTTP request timeout,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:05.348Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,010131
010099,D W MCMILLAN MEMORIAL HOSPITAL,AL,mrf-stale-over-365-days,metadata-or-pointer-review,HTTP request timeout,not retrieved,unresolved,response received,unverified,,,,,,2026-09-09T01:42:05.597Z,,,Pointer / metadata review,Inspect the corroborated file and official pointer separately. Resolve missing or conflicting metadata and multiple file candidates before promoting.,file-evidence.csv,010099
010092,DCH REGIONAL MEDICAL CENTER,AL,compliant-date-unverified,pointer-or-domain-review,HTTP request timeout,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:05.997Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,010092
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,not-assessed-site-unreachable,pointer-or-domain-review,HTTP request timeout,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:05.315Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,010085
010012,DEKALB REGIONAL MEDICAL CENTER,AL,not-assessed-not-named-in-file,pointer-or-domain-review,HTTP request timeout,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:42:06.370Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,010012
