ccn,hospital_name,state,old_finding,status,website,pointer,identity,file_access,metadata,pointer_url,mrf_url,date,version,source_page,checked_at
040017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,AR,old-template-version,publisher-template-review,host returned pointer,entries retrieved,corroborated,response received,date-within-365-days-older-version,https://www.narmc.com/cms-hpt.txt,https://www.narmc.com/images/710787860_north-arkansas-regional-medical-center_standardcharges.csv,2025-11-25,2.0.0,https://www.narmc.com/bill-pay/price-transparency,2026-09-09T01:47:30.684Z
040164,UNITY HEALTH - JACKSONVILLE,AR,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/6ffa86dd7af948a4b4216e06cb522e07/unity-healthcms-hpt.txt,https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/9853a0e7e4714bd59ef913643cafb308/86-2564877_unity-health-jacksonville_standardcharges.json,2025-03-01,2.2.0,https://www.unity-health.org/patients-visitors/pricing/,2026-09-09T01:47:31.340Z
041332,UNITY HEALTH - NEWPORT,AR,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/6ffa86dd7af948a4b4216e06cb522e07/unity-healthcms-hpt.txt,https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/e095f26cd5034d22b9124fc30dcecb5a/86-1835149_unity-health-newport_standardcharges.json,2025-03-01,2.2.0,https://www.unity-health.org/patients-visitors/pricing/,2026-09-09T01:47:31.400Z
040014,WHITE COUNTY MEDICAL CENTER,AR,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/6ffa86dd7af948a4b4216e06cb522e07/unity-healthcms-hpt.txt,https://res.cloudinary.com/dpmykpsih/raw/upload/unity-health-2024-site-471/media/r/f7b14e4eba234333a31eb2d09e307e62/71-0772737_unity-health-white-county-medical-center_standardcharges.json,2025-03-01,2.2.0,https://www.unity-health.org/patients-visitors/pricing/,2026-09-09T01:47:31.550Z
034035,AVENIR BEHAVIORAL HEALTH CENTER,AZ,old-template-version,publisher-template-review,host returned pointer,entries retrieved,corroborated,response received,date-within-365-days-older-version,https://g5-assets-cld-res.cloudinary.com/raw/upload/v1759426049/g5/g5-c-5hk8rftzt-avenir-senior-living-single-domain/g5-cl-1ivmhxc3h3-avenir-senior-living/uploads/cms-hptt_ggurj3.txt,https://g5-assets-cld-res.cloudinary.com/raw/upload/v1759418416/g5/g5-c-5hk8rftzt-avenir-senior-living-single-domain/g5-cl-1ivmlhcajg-avenir-center-for-behavioral-health-at-surprise/uploads/400629305_avenir_behavioral_center_standardcharges_wrurw3.csv,2025-09-30,2.0.0,https://www.avenirseniorliving.com/senior-living/az/surprise/behavioral-health/pricing-transparency,2026-09-09T01:47:31.754Z
034013,COLLEGE MEDICAL CENTER PHOENIX,AZ,old-template-version,publisher-template-review,host returned pointer,entries retrieved,corroborated,response received,date-within-365-days-older-version,https://cmcphoenix.com/cms-hpt.txt,https://cmcphoenix.com/331313844_college-medical-center-phoenix_standardcharges-3/,2026-03-11,1,https://cmcphoenix.com/price-transparency/,2026-09-09T01:47:31.818Z
030153,EAST VALLEY ER & HOSPITAL,AZ,old-template-version,publisher-template-review,host returned pointer,entries retrieved,corroborated,response received,date-within-365-days-older-version,https://eastvalleyhospital.com/cms-hpt.txt,https://eastvalleyhospital.com/wp-content/uploads/2025/10/862195601-1881352037_east-valley-hospital-llc_standardcharges-3in.csv,2025-10-10,2.1.0,https://eastvalleyhospital.com/price-transparency/,2026-09-09T01:47:31.832Z
030062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://summithealthcare.net/cms-hpt.txt,https://hospitalpricedisclosure.com/download.aspx?pi=L*__*5isnkJWsT9OFJEKfZzfA*-*,2025-01-01,2.2.0,https://hospitalpricedisclosure.com/default.aspx?pi=L*__*5isnkJWsT9OFJEKfZzfA*-*,2026-09-09T01:47:32.030Z
034025,THE HEALING PLACE,AZ,old-template-version,publisher-template-review,host returned pointer,entries retrieved,corroborated,response received,date-within-365-days-older-version,https://static1.squarespace.com/static/641cdb99a1fef46a48846e0c/t/69177051ff07795f6421eb3a/1763143790342/cms-hpt.txt,https://www.polarahealth.com/s/TheHealingPlace_MainCampus_StandardCharges.csv,2025-11-04,2.0.0,https://www.polarahealth.com/resourcecenter,2026-09-09T01:47:32.126Z
054158,"ALISO RIDGE BEHAVIORAL HEALTH, LLC",CA,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://www.ocspecialtyhealth.com/cms-hpt.txt,https://www.ocspecialtyhealth.com/wp-content/uploads/2025/03/811504286_aliso-ridge-behavioral-health-llc_standardcharges.csv,2025-03-21,2.0.0,https://www.ocspecialtyhealth.com/standard-services/,2026-09-09T01:47:43.539Z
